"Rank","Tier","Name","Pos","Tm","Bye","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","Rec","RecYds","Rec TD"
"1","1","Saquon Barkley","RB","NYG","11","0.0","0.0","0.0","1418.0","12.7","76","612.2","3.5"
"2","1","Ezekiel Elliott","RB","DAL","8","0.0","0.0","0.0","1357.9","13.3","59","467.2","2.7"
"3","1","Alvin Kamara","RB","NO","9","0.0","0.0","0.0","932.6","8.3","79","707.2","6.1"
"4","1","Christian McCaffrey","RB","CAR","7","0.0","0.0","0.0","1056.6","9.2","106","822.5","5.5"
"5","1","Melvin Gordon","RB","LAC","12","0.0","0.0","0.0","1184.5","12.0","47","419.1","2.8"
"6","2","Le'Veon Bell","RB","NYJ","4","0.0","0.0","0.0","1207.7","11.3","74","706.6","4.6"
"7","2","David Johnson","RB","ARI","12","0.0","0.0","0.0","820.4","7.7","48","413.9","2.8"
"8","2","James Conner","RB","PIT","7","0.0","0.0","0.0","975.7","9.9","55","510.7","2.9"
"9","2","Todd Gurley","RB","LA","9","0.0","0.0","0.0","1242.8","15.3","41","366.6","2.2"
"10","2","Joe Mixon","RB","CIN","9","0.0","0.0","0.0","1199.3","9.5","36","258.0","1.7"
