Team,GP,PAYDS,PATD,RUYDS,RUTD,REC,RZATT,RZTAR,TAR,REYDS,RETD,FPTS
New Orleans Saints,10,3081,28,120,2,0,5,0,0,0,0,253.24
New York Giants,10,3172,19,76,1,0,3,0,0,0,0,203.48
Baltimore Ravens,10,2730,19,114,2,0,5,0,0,0,0,200.6
Jacksonville Jaguars,10,2793,17,153,1,0,3,0,0,0,0,194.02
San Francisco 49ers,10,2908,17,103,0,0,2,0,0,0,0,193.62
Philadelphia Eagles,10,2622,20,86,2,0,3,0,0,0,0,193.48
Detroit Lions,10,2659,16,161,2,0,7,0,0,0,0,190.46
Indianapolis Colts,10,2867,19,136,0,0,4,0,0,0,0,189.28
Green Bay Packers,10,2700,13,301,1,0,3,0,0,0,0,187.1
Washington Redskins,10,2483,20,94,1,0,3,0,0,0,0,184.72
Tennessee Titans,10,2349,17,157,3,1,4,1,1,4,0,184.56
Tampa Bay Buccaneers,10,2493,21,103,1,0,6,0,0,0,0,184.02
Miami Dolphins,10,2675,19,125,0,0,4,0,0,0,0,182.5
Pittsburgh Steelers,10,2950,17,90,0,0,4,0,0,0,0,182
Houston Texans,10,2379,17,163,2,0,7,0,0,0,0,180.46
Chicago Bears,10,2308,19,144,0,0,2,0,0,0,0,177.72
Oakland Raiders,10,2758,14,69,1,0,4,0,0,0,0,177.22
San Diego Chargers,10,2601,16,82,1,0,2,0,0,0,0,175.24
Cleveland Browns,10,2402,18,25,2,0,5,0,0,0,0,173.58
New England Patriots,9,2508,14,141,1,0,3,0,0,0,0,165.42
New York Jets,10,2449,17,137,1,0,10,0,0,0,0,163.66
Buffalo Bills,9,2332,17,88,0,1,3,0,1,9,0,161.48
Kansas City Chiefs,10,2540,17,77,0,0,2,0,0,0,0,159.3
Minnesota Vikings,10,2404,13,105,1,0,1,0,0,0,0,158.66
Arizona Cardinals,10,2249,14,221,1,0,5,0,0,0,0,158.06
Cincinnati Bengals,10,2465,13,124,1,0,4,0,0,0,0,157
Dallas Cowboys,10,2463,11,78,2,0,8,0,0,0,0,156.32
Atlanta Falcons,10,2535,13,90,1,0,5,0,0,0,0,154.4
Carolina Panthers,10,2462,12,188,1,0,5,0,0,0,0,154.28
Seattle Seahawks,10,2260,10,158,3,0,6,0,0,0,0,154.2
St. Louis Rams,10,2452,9,161,1,0,4,0,0,0,0,144.18
Denver Broncos,10,2119,8,175,0,1,3,0,1,-6,0,114.16
