Team,GP,PAYDS,PATD,RUYDS,RUTD,REC,RZATT,RZTAR,TAR,REYDS,RETD,FPTS
New Orleans Saints,13,3799,36,190,2,0,8,0,0,0,0,318.96
Philadelphia Eagles,13,3539,29,169,3,1,4,0,1,36,0,281.56
Jacksonville Jaguars,13,3621,24,286,2,0,5,0,0,0,0,268.44
New York Giants,13,4100,23,123,2,0,4,0,0,0,0,267.3
Tennessee Titans,13,3264,28,184,3,1,6,1,1,4,0,265.86
Indianapolis Colts,13,3726,27,192,1,0,6,0,0,0,0,264.24
Baltimore Ravens,13,3406,27,147,2,0,5,0,0,0,0,262.94
Cleveland Browns,13,3446,26,63,3,0,9,0,0,0,0,256.14
Miami Dolphins,13,3597,28,144,0,0,6,0,0,0,0,253.28
Pittsburgh Steelers,13,3854,25,113,0,0,5,0,0,0,0,245.46
Chicago Bears,13,3006,22,265,2,0,3,0,0,0,0,239.74
Tampa Bay Buccaneers,13,3389,26,104,1,0,6,0,0,0,0,238.96
Oakland Raiders,13,3446,19,109,2,0,5,0,0,0,0,236.74
Houston Texans,13,3044,22,201,3,0,10,0,0,0,0,235.86
Detroit Lions,13,3255,20,194,3,0,8,0,0,0,0,235.6
Buffalo Bills,13,3404,24,141,0,1,6,0,1,9,0,234.66
San Francisco 49ers,13,3651,18,134,1,0,4,0,0,0,0,234.44
Washington Redskins,13,3341,24,96,1,0,3,0,0,0,0,230.24
New York Jets,13,3371,21,142,1,1,10,0,1,41,1,224.64
Minnesota Vikings,13,3218,19,156,2,0,3,0,0,0,0,224.32
San Diego Chargers,13,3287,20,156,1,0,5,0,0,0,0,223.08
Green Bay Packers,13,3234,16,338,1,0,3,0,0,0,0,221.16
Kansas City Chiefs,13,3377,22,127,0,0,3,0,0,0,0,211.78
Dallas Cowboys,13,3083,14,153,3,0,10,0,0,0,0,206.62
New England Patriots,13,3290,17,144,1,0,4,0,0,0,0,206
St. Louis Rams,13,3295,16,167,1,0,4,0,0,0,0,204.5
Atlanta Falcons,13,3237,17,104,2,0,7,0,0,0,0,203.88
Arizona Cardinals,13,3048,16,233,1,0,5,0,0,0,0,195.22
Carolina Panthers,13,3178,16,208,1,0,6,0,0,0,0,194.92
Seattle Seahawks,13,3142,11,176,3,0,8,0,0,0,0,191.28
Cincinnati Bengals,13,3205,13,135,1,0,4,0,0,0,0,180.7
Denver Broncos,13,2736,13,171,0,1,3,0,1,-6,0,157.44
