ADP,Overall,Name,Position,Team,Times Drafted,Bye
1.02,1.7,Antonio Brown,WR,PIT,298,8
1.03,3.3,LeVeon Bell,RB,PIT,338,8
1.04,4.1,Todd Gurley,RB,LA,308,8
1.04,4.2,Odell Beckham Jr,WR,NYG,383,11
1.05,4.6,Julio Jones,WR,ATL,344,11
1.06,5.7,Adrian Peterson,RB,MIN,363,6
1.08,7.7,David Johnson,RB,ARI,394,9
1.08,7.8,DeAndre Hopkins,WR,HOU,411,9
1.09,9.3,Ezekiel Elliott,RB,DAL,369,6
2.01,10.6,Rob Gronkowski,TE,NE,402,9
2.01,11.2,A.J. Green,WR,CIN,470,9
2.02,11.7,Dez Bryant,WR,DAL,438,6
2.04,13.8,Lamar Miller,RB,HOU,474,9
2.04,13.9,Jamaal Charles,RB,KC,418,9
2.04,13.9,Allen Robinson,WR,JAC,462,5
2.05,15.3,Jordy Nelson,WR,GB,492,4
2.06,16.0,Devonta Freeman,RB,ATL,446,11
2.07,17.4,Eddie Lacy,RB,GB,367,4
2.09,19.3,Alshon Jeffery,WR,CHI,339,7
3.01,20.6,Mike Evans,WR,TB,357,6
3.02,21.6,Doug Martin,RB,TB,341,6
3.03,22.7,Amari Cooper,WR,OAK,413,6
3.03,22.9,Keenan Allen,WR,SD,499,10
3.03,23.0,Thomas Rawls,RB,SEA,289,9
3.05,25.2,Mark Ingram,RB,NO,404,5
3.06,26.0,Brandon Marshall,WR,NYJ,440,11
3.07,26.7,Matt Forte,RB,NYJ,455,11
3.09,29.3,Kelvin Benjamin,WR,CAR,481,7
3.09,29.4,Demaryius Thomas,WR,DEN,391,11
4.01,31.0,Cam Newton,QB,CAR,357,7
4.01,31.0,Brandin Cooks,WR,NO,434,5
4.03,32.7,T.Y. Hilton,WR,IND,429,10
4.04,33.7,Latavius Murray,RB,OAK,407,6
4.04,34.1,Aaron Rodgers,QB,GB,375,4
4.07,37.2,Julian Edelman,WR,NE,365,9
4.07,37.3,Carlos Hyde,RB,SF,380,8
4.08,37.5,Jordan Reed,TE,WAS,334,8
4.09,38.6,Jeremy Langford,RB,CHI,318,7
4.10,40.0,Jarvis Landry,WR,MIA,373,8
5.01,40.7,Randall Cobb,WR,GB,436,4
5.02,42.2,CJ Anderson,RB,DEN,407,11
5.03,43.0,DeMarco Murray,RB,TEN,388,13
5.05,45.1,Golden Tate,WR,DET,407,10
5.06,46.0,Matt Jones,RB,WAS,429,8
5.07,46.6,Dion Lewis,RB,NE,403,9
5.07,47.2,Doug Baldwin,WR,SEA,387,9
5.07,47.4,Greg Olsen,TE,CAR,351,7
5.08,47.7,Andrew Luck,QB,IND,272,10
5.10,50.1,Jonathan Stewart,RB,CAR,401,7
6.02,51.5,Jeremy Hill,RB,CIN,414,9
6.03,52.7,Russell Wilson,QB,SEA,355,9
6.03,52.7,Jeremy Maclin,WR,KC,409,9
6.04,53.8,Jay Ajayi,RB,MIA,468,8
6.04,54.4,Ryan Mathews,RB,PHI,415,8
