Player,Salary,Opp,GP,PAYDS,PATD,RUYDS,RUTD,REC,RZATT,RZTAR,TAR,REYDS,RETD,FPTS
Aaron Rodgers,$7.5K,@ DEN,6,1491,15,160,0,0,4,0,0,0,0,140.64
Michael Vick,$5.0K,vs. CIN,5,371,2,99,0,0,0,0,0,0,0,34.74
Philip Rivers,$6.6K,@ BAL,7,2453,15,2,0,0,0,0,0,0,0,156.32
Tom Brady,$8.3K,vs. MIA,6,2054,16,19,2,0,5,0,0,0,0,161.06
Drew Brees,$6.7K,vs. NYG,6,1871,8,-1,0,0,1,0,0,0,0,103.74
Jay Cutler,$5.2K,vs. MIN,5,1231,7,82,0,0,2,0,0,0,0,85.44
Alex Smith,$5.0K,vs. DET,7,1824,7,124,0,0,1,0,0,0,0,118.36
Joe Flacco,$5.5K,vs. SDC,7,1857,9,4,2,0,3,0,0,0,0,118.68
Eli Manning,$6.6K,@ NOS,7,1776,11,48,0,0,4,0,0,0,0,117.84
Matthew Stafford,$5.8K,@ KCC,7,1866,12,62,0,1,1,0,1,-6,0,122.24
Matt Ryan,$7.1K,vs. TBB,7,2002,9,49,0,0,1,0,0,0,0,117.98
Ben Roethlisberger,$6.7K,vs. CIN,3,912,4,-1,0,0,0,0,0,0,0,59.38
Tony Romo,$6.4K,vs. ATL,2,551,3,11,0,0,0,0,0,0,0,35.14
Matt Cassel,$5.0K,vs. SEA,1,227,1,4,0,0,0,0,0,0,0,10.48
Matt Hasselbeck,$5.0K,@ CAR,2,495,3,-2,0,0,1,0,0,0,0,34.6
Ryan Fitzpatrick,$5.2K,@ OAK,6,1472,11,112,1,0,5,0,0,0,0,118.08
Luke McCown,$5.0K,vs. NYG,2,335,0,0,0,0,0,0,0,0,0,15.4
Cam Newton,$6.8K,vs. IND,6,1275,9,245,4,0,10,0,0,0,0,133.5
Andy Dalton,$6.0K,@ PIT,6,1761,14,53,2,0,7,0,0,0,0,143.74
Colin Kaepernick,$5.0K,@ STL,7,1453,6,228,1,0,2,0,0,0,0,112.92
Ryan Mallett,$5.0K,vs. TEN,5,770,3,11,1,0,1,0,0,0,0,50.9
Peyton Manning,$6.4K,vs. GBP,6,1524,7,-4,0,0,0,0,0,0,0,81.56
Carson Palmer,$7.0K,@ CLE,7,2012,16,12,0,0,0,0,0,0,0,143.68
Josh McCown,$5.0K,vs. ARI,6,1686,8,68,1,0,4,0,0,0,0,111.24
Dan Orlovsky,$5.0K,@ KCC,1,191,1,0,0,0,0,0,0,0,0,10.64
Kellen Clemens,$5.0K,@ BAL,1,63,1,0,0,0,0,0,0,0,0,6.52
Andrew Luck,$7.4K,@ CAR,5,1398,11,127,0,0,2,0,0,0,0,110.62
Ryan Tannehill,$5.6K,@ NEP,6,1628,13,44,0,0,1,0,0,0,0,118.52
Brandon Weeden,$5.0K,vs. SEA,4,739,2,30,0,0,0,0,0,0,0,41.56
Russell Wilson,$6.3K,@ DAL,7,1668,8,271,0,0,3,0,0,0,0,124.82
Nick Foles,$5.1K,vs. SFO,6,1119,6,21,1,0,3,0,0,0,0,72.86
Brian Hoyer,$5.3K,vs. TEN,5,1346,11,19,0,0,0,0,0,0,0,98.74
Johnny Manziel,$5.0K,vs. ARI,3,381,3,41,0,0,2,0,0,0,0,31.34
Landry Jones,$5.1K,vs. CIN,2,377,3,-3,0,0,0,0,0,0,0,26.78
Jimmy Clausen,$5.0K,vs. MIN,2,184,0,8,0,0,0,0,0,0,0,7.16
Teddy Bridgewater,$5.1K,@ CHI,6,1339,5,55,1,0,3,0,0,0,0,82.06
Jimmy Garoppolo,$5.0K,vs. MIA,2,0,0,-4,0,0,0,0,0,0,0,-0.4
Zach Mettenberger,$5.1K,@ HOU,3,250,1,-1,0,0,0,0,0,0,0,11.9
Sean Renfree,$5.0K,vs. TBB,1,0,0,-4,0,0,0,0,0,0,0,-0.4
Derek Carr,$5.3K,vs. NYJ,6,1460,11,32,0,0,0,0,0,0,0,104.6
Matthew McGloin,$NaNM,N/A,1,142,2,0,0,0,0,0,0,0,0,11.68
Drew Stanton,$5.0K,@ CLE,2,10,0,-6,0,0,0,0,0,0,0,-0.2
Matthew Moore,$5.0K,@ NEP,1,14,0,-2,0,0,3,0,0,0,0,0.36
Tyler Murphy,$5.0K,vs. CIN,1,0,0,0,0,1,0,0,1,16,0,2.60
Marcus Mariota,$5.4K,@ HOU,5,1239,9,72,0,0,1,0,0,0,0,86.76
Jameis Winston,$5.2K,@ ATL,6,1471,9,67,1,0,1,0,0,0,0,104.54
