"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21030-6498","QB","Tom","Tom Brady","Brady","20.729999542236328","2","9400","HOU@NE","NE","HOU","","","",""
"21030-6894","QB","Aaron","Aaron Rodgers","Rodgers","18.530000686645508","2","9300","CIN@GB","GB","CIN","","","",""
"21030-14190","WR","Julio","Julio Jones","Jones","10.949999809265137","2","9300","ATL@DET","ATL","DET","","","",""
"21030-11612","WR","Antonio","Antonio Brown","Brown","16.200000762939453","2","9000","PIT@CHI","PIT","CHI","","","",""
"21030-31360","WR","Odell","Odell Beckham Jr.","Beckham Jr.","5.599999904632568","1","8800","NYG@PHI","NYG","PHI","Q","Ankle","",""
"21030-28181","RB","Le'Veon","Le'Veon Bell","Bell","8.649999618530273","2","8700","PIT@CHI","PIT","CHI","","","",""
"21030-32384","WR","Mike","Mike Evans","Evans","18.799999237060547","1","8600","TB@MIN","TB","MIN","","","",""
"21030-6616","QB","Matt","Matt Ryan","Ryan","16.40999984741211","2","8500","ATL@DET","ATL","DET","","","",""
"21030-11460","TE","Rob","Rob Gronkowski","Gronkowski","12.449999809265137","2","8400","HOU@NE","NE","HOU","Q","Groin","",""
"21030-6504","QB","Drew","Drew Brees","Brees","18.940000534057617","2","8400","NO@CAR","NO","CAR","","","",""
"21030-6893","WR","Jordy","Jordy Nelson","Nelson","17.399999618530273","1","8400","CIN@GB","GB","CIN","","","",""
"21030-45859","QB","Derek","Derek Carr","Carr","19.940000534057617","2","8400","OAK@WAS","OAK","WAS","","","",""
"21030-45229","RB","Kareem","Kareem Hunt","Hunt","33.75","2","8300","KC@LAC","KC","LAC","","","",""
"21030-24920","RB","Devonta","Devonta Freeman","Freeman","16.950000762939453","2","8200","ATL@DET","ATL","DET","","","",""
"21030-46882","RB","Jay","Jay Ajayi","Ajayi","13.600000381469727","1","8200","MIA@NYJ","MIA","NYJ","Q","Knee","",""
"21030-6779","RB","LeSean","LeSean McCoy","McCoy","12.850000381469727","2","8100","DEN@BUF","BUF","DEN","","","",""
"21030-14185","QB","Cam","Cam Newton","Newton","12.979999542236328","2","8100","NO@CAR","CAR","NO","Q","Ankle","",""
"21030-6589","QB","Ben","Ben Roethlisberger","Roethlisberger","17.1200008392334","2","8000","PIT@CHI","PIT","CHI","","","",""
"21030-6654","QB","Matthew","Matthew Stafford","Stafford","20.6299991607666","2","7900","ATL@DET","DET","ATL","","","",""
"21030-22015","QB","Russell","Russell Wilson","Wilson","11.819999694824219","2","7800","SEA@TEN","SEA","TEN","","","",""
"21030-9392","WR","Michael","Michael Crabtree","Crabtree","20.149999618530273","2","7700","OAK@WAS","OAK","WAS","","","",""
"21030-31001","WR","Amari","Amari Cooper","Cooper","10","2","7700","OAK@WAS","OAK","WAS","Q","Knee","",""
"21030-70324","QB","Carson","Carson Wentz","Wentz","22.850000381469727","2","7700","NYG@PHI","PHI","NYG","","","",""
"21030-28900","RB","Melvin","Melvin Gordon","Gordon","16.850000381469727","2","7600","KC@LAC","LAC","KC","","","",""
"21030-22038","QB","Kirk","Kirk Cousins","Cousins","11.729999542236328","2","7600","OAK@WAS","WAS","OAK","","","",""
"21030-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","12.899999618530273","2","7500","HOU@NE","HOU","NE","","","",""
"21030-21939","QB","Andrew","Andrew Luck","Luck","21.380000813802084","15","7500","CLE@IND","IND","CLE","O","Shoulder - labrum","",""
"21030-21980","WR","Alshon","Alshon Jeffery","Jeffery","13","2","7500","NYG@PHI","PHI","NYG","","","",""
"21030-29358","QB","Marcus","Marcus Mariota","Mariota","16.420000076293945","2","7500","SEA@TEN","TEN","SEA","","","",""
"21030-7968","QB","Philip","Philip Rivers","Rivers","17.959999084472656","2","7500","KC@LAC","LAC","KC","","","",""
"21030-29501","WR","Brandin","Brandin Cooks","Cooks","7.800000190734863","2","7500","HOU@NE","NE","HOU","","","",""
"21030-14187","WR","A.J.","A.J. Green","Green","9.550000190734863","2","7500","CIN@GB","CIN","GB","","","",""
"21030-28573","WR","Michael","Michael Thomas","Thomas","9.199999809265137","2","7500","NO@CAR","NO","CAR","","","",""
"21030-11485","WR","Golden","Golden Tate","Tate","10.449999809265137","2","7400","ATL@DET","DET","ATL","","","",""
"21030-24849","QB","Jameis","Jameis Winston","Winston","12.460000038146973","1","7400","TB@MIN","TB","MIN","","","",""
"21030-14626","WR","Doug","Doug Baldwin","Baldwin","7.699999809265137","2","7400","SEA@TEN","SEA","TEN","","","",""
"21030-6898","QB","Jay","Jay Cutler","Cutler","13.100000381469727","1","7400","MIA@NYJ","MIA","NYJ","","","",""
"21030-28434","QB","Trevor","Trevor Siemian","Siemian","23.649999618530273","2","7400","DEN@BUF","DEN","BUF","","","",""
"21030-8005","QB","Alex","Alex Smith","Smith","23.579999923706055","2","7400","KC@LAC","KC","LAC","","","",""
"21030-53681","WR","Tyreek","Tyreek Hill","Hill","15.100000381469727","2","7300","KC@LAC","KC","LAC","","","",""
"21030-6826","QB","Eli","Eli Manning","Manning","10.130000114440918","2","7300","NYG@PHI","NYG","PHI","","","",""
"21030-29734","RB","Ty","Ty Montgomery","Montgomery","21.649999618530273","2","7200","CIN@GB","GB","CIN","","","",""
"21030-14377","QB","Tyrod","Tyrod Taylor","Taylor","15.130000114440918","2","7200","DEN@BUF","BUF","DEN","","","",""
"21030-29253","WR","Keenan","Keenan Allen","Allen","13.25","2","7200","KC@LAC","LAC","KC","","","",""
"21030-11432","WR","Demaryius","Demaryius Thomas","Thomas","9.649999618530273","2","7100","DEN@BUF","DEN","BUF","Q","Hamstring","",""
"21030-33076","TE","Travis","Travis Kelce","Kelce","13.600000381469727","2","7100","KC@LAC","KC","LAC","","","",""
"21030-11414","QB","Sam","Sam Bradford","Bradford","25.540000915527344","1","7000","TB@MIN","MIN","TB","Q","Knee","",""
"21030-54879","QB","Deshaun","Deshaun Watson","Watson","12.1899995803833","2","7000","HOU@NE","HOU","NE","","","",""
"21030-57537","QB","DeShone","DeShone Kizer","Kizer","12.229999542236328","2","6900","CLE@IND","CLE","IND","","","",""
"21030-11505","WR","Emmanuel","Emmanuel Sanders","Sanders","12.649999618530273","2","6900","DEN@BUF","DEN","BUF","","","",""
"21030-29249","RB","C.J.","C.J. Anderson","Anderson","19.100000381469727","2","6900","DEN@BUF","DEN","BUF","","","",""
