QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Cam Newton ,Melvin Gordon ,Carlos Hyde ,Marquise Goodwin ,A.J. Green ,Jamison Crowder ,Jimmy Graham ,C.J. Anderson ,Los Angeles Chargers 
Russell Wilson ,Melvin Gordon ,Carlos Hyde ,Marquise Goodwin ,Jamison Crowder ,A.J. Green ,Jimmy Graham ,C.J. Anderson ,Los Angeles Chargers 
Cam Newton ,Leonard Fournette ,Melvin Gordon ,Jamison Crowder ,Josh Doctson ,A.J. Green ,Jimmy Graham ,Carlos Hyde ,Chicago Bears 
Cam Newton ,Leonard Fournette ,Melvin Gordon ,Jamison Crowder ,A.J. Green ,Demaryius Thomas ,Antonio Gates ,Carlos Hyde ,Los Angeles Chargers 
Cam Newton ,Melvin Gordon ,Leonard Fournette ,A.J. Green ,Jamison Crowder ,Marquise Goodwin ,Antonio Gates ,Carlos Hyde ,Los Angeles Chargers 
Russell Wilson ,Melvin Gordon ,Leonard Fournette ,Marquise Goodwin ,A.J. Green ,Jamison Crowder ,Antonio Gates ,Carlos Hyde ,Los Angeles Chargers 
Russell Wilson ,Melvin Gordon ,Leonard Fournette ,Jamison Crowder ,A.J. Green ,Chris Godwin ,Jimmy Graham ,Carlos Hyde ,Los Angeles Chargers 
Russell Wilson ,Dion Lewis ,Melvin Gordon ,A.J. Green ,Jamison Crowder ,Marquise Goodwin ,Jimmy Graham ,Carlos Hyde ,Carolina Panthers 
Matthew Stafford ,Melvin Gordon ,Ezekiel Elliott ,Josh Doctson ,A.J. Green ,Jamison Crowder ,Jimmy Graham ,Carlos Hyde ,Los Angeles Chargers 
Matthew Stafford ,Melvin Gordon ,Dion Lewis ,A.J. Green ,Jamison Crowder ,Demaryius Thomas ,Jimmy Graham ,Carlos Hyde ,Los Angeles Chargers 
