Team	GP	ATT	PAYDS	PATD	INT	RUATT	RUYDS	RUTD	REYDS	RETD	FUML	FPTS
Baltimore Ravens	16	42.19	278.25	1.31	1.31	23.81	91.75	0.50	278.06	1.31	0.44	75.99
Cincinnati Bengals	17	32.12	253.88	1.88	0.59	28.94	111.47	1.12	252.06	1.88	0.65	80.74
Cleveland Browns	16	38.06	259.75	1.25	0.75	23.69	94.94	0.31	259.75	1.25	1.06	69.83
Pittsburgh Steelers	18	36.83	299.78	1.50	1.22	24.22	109.78	0.94	299.78	1.50	0.44	85.70
Chicago Bears	16	32.69	240.19	1.31	0.75	29.25	115.88	0.81	240.19	1.31	0.50	72.28
Detroit Lions	16	39.50	278.94	2.06	0.88	22.00	81.38	0.44	278.94	2.06	0.63	81.44
Green Bay Packers	18	36.28	238.67	1.94	0.50	27.17	117.72	0.56	238.67	1.94	0.56	78.71
Minnesota Vikings	17	28.12	199.53	0.82	0.53	29.53	133.82	1.06	199.53	0.82	0.53	64.29
Buffalo Bills	16	29.06	225.00	1.44	0.56	31.75	152.00	1.19	225.00	1.44	0.56	75.98
Miami Dolphins	16	36.81	264.56	1.50	0.75	21.44	93.38	0.69	264.56	1.50	0.38	76.19
New England Patriots	18	40.39	301.33	2.17	0.50	23.00	82.56	0.89	301.33	2.17	0.39	88.91
New York Jets	16	37.75	260.63	2.06	1.00	28.00	116.75	0.69	260.94	2.06	0.50	82.22
Houston Texans	17	38.41	247.94	1.71	0.94	29.18	108.59	0.41	247.53	1.71	0.53	74.35
Indianapolis Colts	16	38.69	245.50	1.63	1.19	24.56	88.81	0.38	245.50	1.63	0.63	70.66
Jacksonville Jaguars	16	37.94	276.75	2.19	1.13	22.06	91.25	0.31	275.56	2.19	0.50	81.03
Tennessee Titans	16	34.50	243.31	1.56	1.06	23.19	92.81	0.63	243.31	1.56	1.00	71.09
Dallas Cowboys	16	33.00	229.81	1.00	1.38	25.44	117.88	0.50	229.81	1.00	0.69	64.90
New York Giants	16	38.94	281.50	2.25	0.88	25.25	100.56	0.31	282.19	2.25	0.44	85.25
Philadelphia Eagles	16	38.94	271.31	1.44	1.13	27.75	108.75	0.94	271.31	1.44	0.81	79.52
Washington Redskins	17	35.35	271.94	1.82	0.65	26.29	97.29	0.59	271.94	1.82	0.71	81.24
Atlanta Falcons	16	38.81	287.63	1.31	1.06	26.25	100.38	0.81	287.63	1.31	0.69	79.31
Carolina Panthers	18	30.67	242.72	2.11	0.61	33.50	143.28	1.33	242.72	2.11	0.50	85.67
New Orleans Saints	16	41.69	325.69	2.00	0.69	24.81	93.19	1.00	325.69	2.00	0.56	94.01
Tampa Bay Buccaneers	16	33.44	252.75	1.38	0.94	28.44	135.13	0.75	252.75	1.38	0.69	74.83
Denver Broncos	18	37.50	256.33	1.17	1.28	26.33	107.00	0.78	256.33	1.17	0.50	72.14
Kansas City Chiefs	18	30.22	218.11	1.22	0.44	28.06	128.67	1.11	218.28	1.22	0.50	71.53
Oakland Raiders	16	37.88	258.06	2.13	0.88	23.00	91.13	0.44	257.88	2.13	0.56	78.97
San Diego Chargers	16	41.75	303.50	1.88	0.81	24.50	84.81	0.25	303.50	1.88	0.69	83.38
Arizona Cardinals	18	35.83	297.72	2.17	1.06	27.06	112.06	0.94	297.17	2.17	0.72	89.22
St. Louis Rams	16	29.31	181.94	0.69	0.69	26.81	122.38	1.00	181.94	0.69	0.63	57.77
San Francisco 49ers	16	32.88	227.88	1.00	0.75	24.38	96.50	0.44	227.88	1.00	0.31	63.12
Seattle Seahawks	18	31.28	253.83	2.11	0.61	29.89	134.61	0.56	253.83	2.11	0.44	83.19
