Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
1,Logan Ryan (FA),73,40,4.5,18,4,4,0,0,16,230.9,14.4,23.1%
2,Budda Baker (ARI),104,43,0.5,6,0,1,1,0,16,225.2,14.1,83.6%
3,Eric Reid (FA),96,33,4.0,6,0,1,2,0,16,223.5,14.0,23.8%
4,Jamal Adams (NYJ),61,14,6.5,7,1,2,1,2,14,192.7,13.8,75.6%
5,Landon Collins (WAS),78,39,1.0,4,0,2,0,0,15,187.0,12.5,63.8%
6,Jordan Poyer (BUF),68,36,1.0,3,2,3,3,0,16,181.9,11.4,59.1%
7,Harrison Smith (MIN),65,20,1.0,11,3,3,2,0,15,178.3,11.9,57.8%
8,Vonn Bell (CIN),63,23,1.5,5,1,2,5,1,13,174.6,13.4,43.0%
9,Antoine Bethea (FA),81,29,0.0,6,1,0,2,0,16,170.7,10.7,17.6%
10,Tracy Walker (DET),79,21,0.0,8,1,1,0,0,13,170.5,13.1,50.7%
11,Shawn Williams (CIN),79,33,1.0,3,1,0,0,0,16,169.7,10.6,36.3%
12,Marlon Humphrey (BAL),53,12,0.0,14,3,2,3,2,16,166.7,10.4,40.2%
13,Justin Simmons (DEN),65,28,0.0,15,4,0,0,0,16,166.4,10.4,41.6%
14,Jessie Bates III (CIN),71,29,0.0,9,3,1,1,0,16,165.1,10.3,41.7%
15,Malcolm Jenkins (NO),62,18,2.5,8,0,4,1,0,16,164.0,10.3,34.2%
16,Taylor Rapp (LAR),61,38,0.0,8,2,0,1,1,15,159.8,10.7,46.4%
17,Joe Haden (PIT),59,6,0.0,17,5,1,1,0,16,159.2,10.0,19.1%
18,Tre Flowers (SEA),65,17,2.0,8,3,1,1,0,15,158.7,10.6,25.1%
19,Tre'Davious White (BUF),48,10,1.0,17,6,2,0,0,15,157.2,10.5,39.3%
20,Tyrann Mathieu (KC),63,12,2.0,12,4,0,0,0,16,157.2,9.8,53.1%
21,Minkah Fitzpatrick (PIT),43,25,0.0,9,5,2,3,2,16,156.7,9.8,55.6%
