Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
1,Danielle Hunter (MIN),52,18,14.5,0,0,3,1,0,16,203.4,12.7,76.7%
2,Dante Fowler Jr. (ATL),40,18,11.5,6,0,2,1,1,16,186.8,11.7,47.9%
3,Cameron Heyward (PIT),51,32,9.0,6,0,1,1,0,16,181.4,11.3,51.7%
4,Joey Bosa (LAC),47,20,11.5,0,0,1,0,0,16,180.7,11.3,75.2%
5,Cameron Jordan (NO),37,16,15.5,3,0,0,1,0,16,175.8,11.0,56.7%
6,Aaron Donald (LAR),29,19,12.5,2,0,2,1,0,16,173.2,10.8,74.6%
7,Carlos Dunlap (CIN),39,24,9.0,8,0,2,0,0,14,165.3,11.8,36.3%
8,Maxx Crosby (LV),35,11,10.0,4,0,4,0,0,16,163.1,10.2,38.6%
9,Yannick Ngakoue (JAC),36,5,8.0,6,1,4,1,1,15,162.4,10.8,27.7%
10,Sam Hubbard (CIN),46,30,8.5,3,0,1,0,0,15,159.5,10.6,47.7%
11,DeForest Buckner (IND),33,28,7.5,2,0,2,4,1,16,156.2,9.8,58.0%
12,Nick Bosa (SF),32,15,9.0,2,1,1,2,0,16,155.5,9.7,77.6%
13,Justin Houston (IND),33,11,11.0,0,0,2,3,0,16,154.6,9.7,23.7%
14,Grady Jarrett (ATL),38,31,7.5,0,0,2,0,0,16,148.5,9.3,43.5%
15,Arik Armstead (SF),32,22,10.0,2,0,2,1,0,16,147.6,9.2,38.2%
16,Brandon Graham (PHI),35,15,8.5,0,0,1,2,0,16,147.6,9.2,19.4%
17,Matt Ioannidis (WAS),42,22,8.5,1,0,0,0,0,16,143.0,8.9,15.8%
18,Calais Campbell (BAL),37,19,6.5,1,0,2,1,1,16,140.7,8.8,45.5%
19,Melvin Ingram III (LAC),39,9,7.0,5,1,0,1,0,13,137.5,10.6,31.4%
20,Frank Clark (KC),27,10,8.0,4,1,3,1,0,14,137.2,9.8,32.2%
21,Robert Quinn (CHI),26,8,11.5,3,0,2,0,0,14,136.2,9.7,17.4%
22,Josh Allen (JAC),31,13,10.5,0,0,2,0,0,16,134.0,8.4,37.0%
23,Jonathan Allen (WAS),46,22,6.0,1,0,0,1,0,15,132.9,8.9,34.9%
24,Kenny Clark (GB),31,31,6.0,1,0,1,0,0,16,122.0,7.6,29.5%
25,Demarcus Lawrence (DAL),30,15,5.0,2,0,2,2,0,16,120.7,7.5,36.8%
26,Shelby Harris (DEN),28,21,6.0,9,0,1,0,0,16,119.6,7.5,7.2%
27,Trey Flowers (DET),33,18,7.0,0,0,2,0,0,15,119.3,8.0,24.1%
28,Sheldon Richardson (CLE),43,19,3.0,4,0,3,0,0,16,119.0,7.4,22.0%
29,Everson Griffen (FA),26,15,8.0,2,1,0,0,0,15,118.0,7.9,12.6%
30,Jordan Phillips (ARI),25,6,9.5,0,0,1,0,0,16,116.7,7.3,5.6%
31,Vic Beasley Jr. (TEN),28,14,8.0,2,0,2,0,0,16,115.7,7.2,4.9%
32,Chris Jones (KC),23,13,9.0,4,0,1,1,0,13,114.5,8.8,40.1%
33,Jadeveon Clowney (FA),21,10,3.0,3,1,4,2,2,13,114.3,8.8,24.9%
34,Trent Murphy (BUF),24,12,5.0,3,1,2,2,0,16,113.4,7.1,2.6%
35,Larry Ogunjobi (CLE),35,15,5.5,1,0,0,0,0,15,112.5,7.5,7.0%
36,Myles Garrett (CLE),20,9,10.0,0,0,2,0,0,10,112.4,11.2,68.8%
37,Lawrence Guy (NE),35,26,3.0,1,1,0,2,0,16,111.5,7.0,8.2%
38,Ndamukong Suh (TB),22,19,2.5,4,0,0,4,2,16,109.2,6.8,11.2%
39,Javon Hargrave (PHI),35,25,4.0,0,0,1,0,0,16,109.2,6.8,8.4%
40,Bruce Irvin (SEA),22,14,8.5,1,0,1,1,0,13,107.3,8.3,5.1%
41,Jason Pierre-Paul (TB),24,3,8.5,2,0,2,0,0,11,105.8,9.6,13.9%
42,Shaq Lawson (MIA),21,11,6.5,2,0,1,0,0,15,105.6,7.0,6.4%
43,Michael Bennett (FA),24,8,6.5,0,0,0,0,0,15,103.2,6.9,1.4%
44,Mario Addison (BUF),20,14,9.5,0,0,2,0,0,15,101.8,6.8,12.4%
45,Davon Godchaux (MIA),33,42,2.0,1,0,0,0,0,16,100.9,6.3,9.3%
46,Derek Barnett (PHI),25,5,6.5,0,0,2,0,0,14,100.5,7.2,8.0%
47,Jurrell Casey (DEN),26,18,5.0,0,0,1,2,0,14,97.2,6.9,13.1%
48,Nick Williams (DET),24,18,6.0,2,0,0,2,0,16,97.2,6.1,1.3%
49,Derek Wolfe (BAL),23,11,7.0,1,0,1,0,0,12,96.6,8.1,6.2%
50,Clelin Ferrell (LV),24,14,4.5,5,0,0,1,0,15,96.3,6.4,12.6%
51,Carl Nassib (LV),24,10,6.0,0,0,1,1,0,14,95.7,6.8,2.2%
52,Fletcher Cox (PHI),26,14,3.5,2,0,3,1,0,16,95.2,6.0,22.8%
53,Ifeadi Odenigbo (MIN),18,5,7.0,0,0,1,2,1,16,94.4,5.9,2.7%
54,Vernon Butler (BUF),22,10,6.0,0,0,3,0,0,15,94.3,6.3,1.1%
55,Michael Brockers (LAR),34,29,3.0,1,0,0,0,0,16,94.1,5.9,9.6%
56,Ed Oliver (BUF),24,19,5.0,2,0,1,0,0,16,90.0,5.6,17.0%
57,Dalvin Tomlinson (NYG),23,26,3.5,0,0,1,0,0,16,89.8,5.6,3.1%
58,Danny Shelton (DET),30,31,3.0,0,0,1,0,0,16,89.6,5.6,2.3%
59,Emmanuel Ogbah (MIA),23,9,5.5,3,0,1,0,0,10,87.0,8.7,4.5%
60,Brian Burns (CAR),17,6,7.5,0,0,1,1,1,16,86.8,5.4,13.3%
61,D.J. Reader (CIN),28,24,2.5,0,0,0,0,0,15,85.2,5.7,3.0%
62,Da'Ron Payne (WAS),32,24,2.0,2,0,0,0,0,15,84.9,5.7,9.0%
63,A'Shawn Robinson (LAR),32,8,1.5,3,0,1,2,0,13,84.2,6.5,2.1%
64,Adam Butler (NE),17,9,6.0,5,0,0,0,0,16,84.0,5.3,0.9%
65,Linval Joseph (LAC),26,18,3.0,0,0,1,0,0,13,83.9,6.5,14.0%
66,Johnathan Hankins (LV),28,22,1.5,1,0,0,0,0,16,83.8,5.2,1.7%
67,Christian Wilkins (MIA),30,26,2.0,2,0,0,0,0,16,83.3,5.2,27.3%
68,Marcus Davenport (NO),15,16,6.0,0,0,3,0,0,13,83.2,6.4,11.6%
69,Steve McLendon (NYJ),21,15,2.5,0,0,0,1,0,16,82.0,5.1,0.4%
70,Gerald McCoy (DAL),15,22,5.0,2,0,0,0,0,16,79.9,5.0,4.3%
71,Tanoh Kpassagnon (KC),21,8,4.0,2,0,1,1,0,16,79.8,5.0,4.0%
72,Tyeler Davison (ATL),26,29,1.0,0,0,0,1,0,16,79.3,5.0,1.1%
73,Damon Harrison (FA),29,20,2.0,3,0,0,0,0,15,78.8,5.3,3.1%
74,Mike Purcell (DEN),28,20,0.0,0,0,0,0,0,13,77.3,5.9,1.0%
75,Geno Atkins (CIN),18,29,4.5,0,0,0,0,0,16,77.1,4.8,8.8%
76,Rasheem Green (SEA),15,12,4.0,2,0,3,1,0,16,74.3,4.6,10.1%
77,Sebastian Joseph (LAR),25,19,2.0,1,0,0,0,0,16,74.2,4.6,0.0%
78,Cassius Marsh (JAC),25,11,2.5,0,0,0,0,0,16,73.6,4.6,0.2%
79,Denico Autry (IND),20,12,3.5,4,0,1,0,0,14,73.2,5.2,2.6%
80,Rodney Gunter (JAC),20,11,3.0,0,0,0,0,0,13,73.1,5.6,0.2%
81,J.J. Watt (HOU),15,9,4.0,3,0,1,2,0,8,71.9,9.0,59.3%
82,Derrick Nnadi (KC),18,30,1.0,1,1,1,0,0,16,71.8,4.5,2.9%
83,Al-Quadin Muhammad (IND),20,7,3.0,0,0,1,0,0,16,71.5,4.5,0.5%
84,Benson Mayowa (SEA),10,5,7.0,0,0,3,0,0,15,71.4,4.8,1.3%
85,Dean Lowry (GB),23,24,0.0,3,1,0,1,0,16,71.3,4.5,1.1%
86,William Gholston (TB),26,13,1.5,2,0,0,0,0,16,70.6,4.4,1.1%
87,Kyle Phillips (NYJ),21,18,1.5,1,0,0,0,0,15,70.2,4.7,1.4%
88,Dexter Lawrence (NYG),24,14,2.5,1,0,1,0,0,16,69.8,4.4,3.7%
89,Jerry Hughes (BUF),14,9,4.5,3,0,0,1,0,16,69.5,4.3,3.1%
90,Jaylon Ferguson (BAL),20,11,2.5,1,0,0,1,0,14,68.9,4.9,2.9%
91,Chad Thomas (CLE),17,9,4.0,1,0,0,1,0,16,68.9,4.3,1.8%
92,Dee Ford (SF),10,4,6.5,1,0,2,0,0,11,68.6,6.2,17.1%
93,Chase Winovich (NE),12,8,5.5,0,0,0,0,0,16,68.3,4.3,5.3%
94,Corey Peters (ARI),19,19,2.5,0,0,0,0,0,16,68.2,4.3,1.7%
95,Malcom Brown (NO),18,16,2.0,1,0,0,1,0,16,67.9,4.2,1.8%
96,Vinny Curry (FA),20,7,5.0,0,0,0,0,0,16,67.9,4.2,0.2%
97,Tyson Alualu (PIT),21,20,1.0,2,0,1,0,0,16,67.8,4.2,0.6%
98,Jabaal Sheard (FA),20,5,4.5,2,0,0,0,0,14,67.5,4.8,2.1%
99,Tarell Basham (NYJ),16,12,2.0,6,1,0,1,0,16,67.0,4.2,0.4%
100,Leonard Williams (NYG),21,25,0.5,3,0,1,0,0,15,66.0,4.4,4.4%
101,Alex Okafor (KC),15,7,5.0,1,0,1,0,0,10,66.0,6.6,4.1%
102,Vita Vea (TB),19,16,2.5,3,0,0,0,0,16,65.4,4.1,22.5%
103,Dawuane Smoot (JAC),12,5,6.0,0,0,0,1,0,16,65.0,4.1,0.2%
104,Taven Bryan (JAC),18,15,2.0,1,0,1,0,0,16,64.5,4.0,1.0%
105,Maurice Hurst Jr. (LV),11,7,3.5,3,1,0,2,0,16,63.5,4.0,1.4%
106,Quinton Jefferson (BUF),14,12,3.5,3,0,0,1,0,14,62.9,4.5,6.6%
107,Olivier Vernon (CLE),20,6,3.5,0,0,1,0,0,10,62.5,6.3,6.2%
108,Taco Charlton (KC),14,7,5.0,0,0,2,0,0,11,61.9,5.6,1.3%
109,David Onyemata (NO),22,10,3.0,1,0,0,0,0,16,61.8,3.9,0.6%
110,Dontari Poe (DAL),15,7,4.0,0,0,0,0,0,11,61.6,5.6,0.9%
111,Maliek Collins (LV),15,5,4.0,0,0,0,1,0,16,61.4,3.8,1.1%
112,Roy Robertson-Harris (CHI),22,8,2.5,3,0,0,0,0,15,61.2,4.1,0.0%
113,Poona Ford (SEA),21,11,0.5,1,0,0,1,0,15,60.1,4.0,0.4%
114,Josh Sweat (PHI),14,5,4.0,1,0,0,0,0,16,59.9,3.7,0.9%
115,Ronald Blair III (SF),14,7,3.0,0,0,0,1,0,9,59.9,6.7,0.4%
116,Jaleel Johnson (MIN),15,14,3.5,0,0,0,0,0,16,59.7,3.7,0.6%
117,Grover Stewart (IND),14,16,3.0,1,0,0,0,0,16,59.4,3.7,0.4%
118,Ezekiel Ansah (FA),12,6,2.5,2,0,2,2,0,12,59.3,4.9,1.2%
119,Stephon Tuitt (PIT),18,4,3.5,0,0,0,0,0,6,59.1,9.9,10.8%
120,Quinnen Williams (NYJ),15,13,2.5,1,0,0,1,0,13,58.1,4.5,9.9%
121,Jeffery Simmons (TEN),18,14,2.0,1,0,0,0,0,9,57.2,6.4,6.8%
122,Stephen Weatherly (CAR),14,10,3.0,0,0,1,0,0,16,57.2,3.6,1.1%
123,Adrian Clayborn (CLE),12,6,4.0,0,0,2,0,0,15,56.8,3.8,0.5%
124,DeMarcus Walker (DEN),13,9,4.0,1,0,0,0,0,10,56.5,5.7,0.6%
125,Daquan Jones (TEN),21,21,1.0,3,0,0,0,0,16,56.2,3.5,1.1%
126,Al Woods (JAC),16,16,1.0,0,0,0,2,0,14,55.8,4.0,0.2%
127,Trey Hendrickson (NO),11,9,4.5,0,0,1,0,0,13,55.5,4.3,1.2%
128,Tyler Lancaster (GB),17,13,1.5,0,0,1,1,0,16,54.5,3.4,0.6%
129,Andrew Billings (CLE),18,17,1.0,0,0,0,0,0,16,54.1,3.4,0.2%
130,Deatrich Wise Jr. (NE),20,6,2.0,0,0,1,0,0,14,54.1,3.9,1.0%
131,Folorunso Fatukasi (NYJ),14,13,1.0,1,0,0,0,0,15,54.0,3.6,0.4%
132,D.J. Jones (SF),19,4,2.0,0,0,1,0,0,16,53.7,3.4,1.0%
