Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
1,C.J. Mosley (NYJ),96,36,1.0,7,2,3,3,1,16,262.9,16.4,41.0%
2,Bobby Wagner (SEA),97,36,1.5,6,2,0,1,1,16,255.7,16.0,85.6%
3,Blake Martinez (NYG),94,48,1.0,8,1,1,2,0,16,251.1,15.7,82.2%
4,Deion Jones (ATL),91,47,1.0,10,3,0,0,0,16,246.9,15.4,50.7%
5,Demario Davis (NO),97,38,5.0,3,0,0,1,0,16,239.7,15.0,57.1%
6,Luke Kuechly (FA),74,51,1.5,6,3,1,2,1,15,236.5,15.8,92.3%
7,Christian Kirksey (GB),86,52,3.5,5,0,2,1,0,16,235.1,14.7,30.8%
8,Wesley Woodyard (FA),81,40,5.0,5,0,0,2,1,16,231.0,14.4,2.5%
9,Chandler Jones (ARI),52,7,17.0,3,0,2,0,0,16,230.4,14.4,60.2%
10,Joe Schobert (JAC),85,57,3.0,4,1,3,0,0,16,226.6,14.2,70.0%
11,Telvin Smith Sr. (FA),76,26,1.0,5,3,1,2,2,14,221.0,15.8,2.0%
12,Zach Brown (FA),84,43,2.5,2,0,0,0,0,13,213.9,16.5,1.1%
13,Preston Brown (FA),84,60,0.0,3,0,0,0,0,16,208.4,13.0,0.7%
14,Tahir Whitehead (CAR),78,32,1.0,2,1,0,4,0,16,205.3,12.8,14.7%
15,Lavonte David (TB),76,25,0.0,1,0,5,5,1,13,205.0,15.8,65.6%
16,Eric Kendricks (MIN),67,46,1.0,6,1,0,0,1,16,200.8,12.6,46.0%
17,Navorro Bowman (FA),80,47,1.5,3,1,0,1,0,15,196.4,13.1,0.1%
18,Brandon Marshall (FA),75,31,3.0,4,0,1,1,1,16,189.9,11.9,0.2%
19,Vince Williams (PIT),68,20,8.0,1,1,0,0,0,16,187.8,11.7,5.2%
20,Kiko Alonso (NO),79,36,1.0,1,0,2,0,0,16,185.7,11.6,4.1%
21,Alec Ogletree (FA),63,32,2.0,10,1,1,1,1,15,176.6,11.8,7.1%
