RK,TEAM,DEFENSEDVOA,LASTYEAR,WEI.DEFENSE,RK.1,PASSDEF,RK.2,RUSHDEF,RK.3,NON-ADJTOTAL,NON-ADJPASS,NON-ADJRUSH,VAR,RK.4,SCHED,RK.5
1,NE,-25.5%,16,-16.8%,4,-33.8%,1,-14.0%,6,-28.5%,-37.2%,-16.3%,11.8%,31,-5.5%,32
2,SF,-19.7%,23,-15.2%,5,-26.3%,2,-12.0%,11,-17.7%,-23.0%,-11.5%,8.8%,28,0.7%,13
3,PIT,-18.4%,13,-24.3%,1,-16.5%,3,-20.3%,3,-17.5%,-17.4%,-17.6%,7.1%,22,0.0%,16
4,BAL,-12.7%,3,-20.4%,2,-16.5%,4,-7.0%,20,-16.8%,-22.7%,-8.1%,7.2%,24,-5.2%,30
5,TB,-11.5%,32,-17.2%,3,-0.3%,12,-30.5%,1,-11.5%,-0.2%,-30.7%,6.6%,20,2.3%,6
6,BUF,-11.5%,2,-12.7%,6,-13.4%,5,-8.9%,18,-13.6%,-17.5%,-8.5%,5.2%,12,-5.4%,31
7,MIN,-9.9%,4,-11.2%,7,-7.6%,7,-13.1%,8,-9.8%,-6.1%,-15.0%,2.9%,3,1.7%,9
8,CHI,-7.2%,1,-6.8%,10,-4.1%,8,-11.0%,13,-3.9%,1.1%,-10.4%,3.8%,4,3.7%,1
9,LAR,-6.4%,17,-7.5%,8,-1.3%,10,-12.5%,10,-3.2%,0.6%,-7.7%,9.2%,29,3.3%,3
10,NYJ,-5.8%,21,-6.9%,9,7.9%,18,-24.5%,2,-8.2%,4.0%,-24.7%,5.6%,14,-3.6%,27
11,NO,-4.3%,11,-6.7%,11,1.7%,13,-14.3%,5,-5.3%,2.1%,-17.6%,5.0%,9,0.2%,14
12,PHI,-4.0%,15,-4.7%,14,5.6%,16,-18.5%,4,-3.9%,7.2%,-20.6%,10.8%,30,-2.0%,24
13,DEN,-3.7%,5,-5.8%,12,1.9%,14,-10.0%,16,-2.0%,6.3%,-11.5%,7.4%,25,3.2%,4
14,KC,-3.4%,26,-5.3%,13,-9.3%,6,4.2%,29,-1.2%,-6.0%,5.0%,5.8%,16,1.7%,8
15,GB,-1.1%,29,0.0%,16,-1.3%,9,-0.8%,23,-1.1%,-2.3%,0.5%,8.1%,27,-0.2%,17
16,TEN,1.0%,19,1.7%,20,11.0%,21,-12.6%,9,0.1%,9.9%,-13.2%,1.7%,1,-0.8%,22
17,IND,2.3%,10,1.1%,18,8.8%,19,-7.2%,19,2.0%,9.3%,-8.8%,5.9%,17,-0.6%,19
18,SEA,2.6%,14,0.6%,17,3.8%,15,1.0%,26,2.8%,2.2%,3.7%,4.9%,8,0.8%,12
19,DAL,3.0%,9,3.6%,21,13.2%,23,-10.4%,15,-1.8%,7.8%,-14.3%,6.0%,18,-4.5%,28
20,ATL,4.5%,31,-0.2%,15,17.0%,25,-10.7%,14,8.7%,20.5%,-5.6%,6.7%,21,2.2%,7
21,LAC,5.4%,8,1.5%,19,10.5%,20,0.0%,25,5.9%,12.1%,-0.8%,2.5%,2,-0.3%,18
22,CLE,6.0%,12,11.6%,26,6.4%,17,5.6%,30,6.7%,6.1%,7.4%,4.8%,6,-2.5%,26
23,ARI,7.2%,18,4.3%,22,20.7%,27,-11.3%,12,10.8%,28.7%,-13.8%,6.2%,19,1.4%,10
24,WAS,7.9%,20,6.9%,23,15.9%,24,-0.5%,24,7.3%,14.0%,0.3%,5.1%,11,-0.7%,21
25,CAR,8.2%,22,14.2%,28,-0.7%,11,18.6%,32,10.1%,2.7%,19.0%,4.8%,7,2.9%,5
26,HOU,9.0%,7,14.0%,27,19.4%,26,-5.0%,22,10.8%,21.1%,-3.1%,5.2%,13,3.4%,2
27,NYG,10.4%,24,9.3%,24,31.3%,31,-14.0%,7,8.4%,28.4%,-14.9%,7.2%,23,-2.1%,25
28,DET,10.7%,28,15.8%,30,26.1%,29,-9.3%,17,11.2%,28.1%,-10.6%,4.5%,5,1.2%,11
29,JAX,11.0%,6,16.0%,31,12.2%,22,9.7%,31,11.6%,14.0%,8.8%,14.0%,32,0.1%,15
30,CIN,13.4%,27,10.1%,25,25.0%,28,2.4%,28,12.9%,23.8%,2.6%,5.6%,15,-1.3%,23
31,OAK,14.8%,30,15.1%,29,30.2%,30,-5.1%,21,14.6%,30.3%,-5.6%,7.7%,26,-0.7%,20
32,MIA,22.1%,25,17.8%,32,41.3%,32,1.9%,27,20.1%,37.0%,2.3%,5.0%,10,-4.7%,29
