0,1,2,3,4,5,6,7,8,9,10
Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM
A.Jones,GB,143,134,31.3%,28.7%,81,448,542,4,0
Du.Johnson,CLE,90,92,15.7%,16.1%,81,344,467,4,1
R.Smith,DAL,81,82,23.9%,24.2%,55,232,347,4,0
C.Grant,JAC,79,75,53.6%,51.1%,30,248,236,2,0
C.Clement,PHI,71,71,14.5%,14.3%,74,321,382,4,0
A.Ekeler,LACH,59,61,22.7%,24.0%,47,260,257,2,1
R.Burkhead,NE,56,65,10.5%,13.6%,64,264,344,5,1
D.Cook,MIN,48,66,7.4%,13.5%,74,354,333,2,1
T.Montgomery,GB,37,41,2.8%,4.0%,71,273,341,3,0
S.Ridley,PIT,34,12,27.1%,4.3%,26,108,135,1,0
C.Carson,SEA,33,21,7.0%,1.3%,49,208,234,0,0
E.Penny,ARI,33,44,15.8%,24.1%,31,124,168,2,0
J.D.McKissic,SEA,31,26,8.2%,5.4%,45,186,209,1,0
Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM
J.Conner,PIT,20,18,10.2%,7.9%,32,144,125,0,0
T.Green,DET,17,19,0.0%,1.4%,42,165,192,2,0
J.Richard,OAK,15,15,-1.4%,-1.4%,56,275,209,1,1
R.Kelley,WAS,15,9,-2.8%,-5.0%,62,194,254,3,0
A.Blue,HOU,14,6,-4.0%,-6.8%,71,262,286,1,0
T.West,BAL,14,18,0.2%,3.0%,39,139,158,2,1
T.Ward,ATL,10,7,-0.3%,-2.7%,30,129,121,0,1
D.Foreman,HOU,10,-5,-5.5%,-10.0%,78,327,300,2,2
C.Sims,TB,9,12,2.9%,6.4%,21,95,82,0,0
C.Thompson,WAS,9,8,-4.9%,-5.2%,64,296,219,2,1
K.Bibbs,WAS,9,4,2.2%,-3.6%,21,79,83,0,0
R.Turbin,IND,7,0,-2.4%,-8.9%,23,53,114,1,0
M.Mack,IND,6,11,-6.9%,-5.8%,93,365,342,4,1
Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM
T.Cohen,CHI,6,4,-6.8%,-7.3%,87,372,284,2,2
M.Brown,LARM,4,-3,-6.9%,-9.7%,63,246,201,1,1
T.J.Yeldon,JAC,4,-3,-6.7%,-10.4%,49,253,172,2,2
J.Rodgers,TB,2,15,-7.7%,-2.8%,64,244,233,1,0
J.Charles,DEN,2,37,-7.9%,4.6%,69,305,247,1,2
J.White,NE,-1,8,-9.3%,-3.6%,43,171,143,0,0
D.Booker,DEN,-2,25,-9.2%,-0.5%,79,299,262,1,1
T.Cadet,2TM,-3,10,-11.2%,1.4%,23,96,80,0,0
T.Riddick,DET,-3,-8,-9.5%,-11.3%,84,286,258,3,1
A.Ellington,2TM,-6,-5,-16.3%,-15.0%,20,55,58,1,0
J.Hill,CIN,-9,-19,-14.2%,-20.8%,37,121,121,0,1
M.Tolbert,BUF,-9,-31,-12.1%,-21.0%,66,248,204,1,2
C.Johnson,ARI,-19,-34,-19.6%,-28.1%,45,114,120,0,0
Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM
W.Smallwood,PHI,-20,-3,-19.5%,-10.1%,47,174,127,1,0
S.Vereen,NYG,-22,-13,-22.6%,-16.5%,45,164,101,0,0
Da.Williams,MIA,-25,-28,-22.7%,-24.4%,46,181,112,0,0
P.Perkins,NYG,-29,-39,-27.1%,-33.6%,41,90,88,0,0
B.Oliver,LACH,-32,-35,-31.4%,-33.4%,35,83,69,0,0
Dw.Washington,DET,-36,-33,-49.1%,-45.2%,20,44,18,0,0
M.Davis,SEA,-38,-53,-23.1%,-29.2%,69,240,161,0,0
D.Washington,OAK,-55,-34,-33.1%,-23.9%,57,153,103,2,1
E.McGuire,NYJ,-56,-38,-25.8%,-20.3%,88,315,191,1,1
E.Lacy,SEA,-81,-71,-37.9%,-34.1%,69,179,107,0,0
T.Rawls,SEA,-83,-86,-40.9%,-41.8%,58,157,87,0,1
