Player,Team,DYAR,Rk,YAR,Rk.1,DVOA,Rk.2,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM
K.Hunt,KC,198,1,198,4,79.4%,1,79.7%,35,378,560,7,74%,0
A.Kamara,NO,197,2,203,2,19.4%,7,20.5%,105,709,831,4,77%,0
J.White,NE,194,3,200,3,13.5%,13,14.3%,123,751,907,7,71%,0
T.Cohen,CHI,184,4,197,5,21.3%,6,23.6%,91,725,757,5,78%,1
C.McCaffrey,CAR,183,5,209,1,11.5%,15,15.2%,124,867,894,6,86%,2
J.Richard,OAK,138,6,144,6,17.4%,9,18.9%,81,607,600,0,84%,0
A.Ekeler,LAC,131,7,116,8,30.3%,4,25.4%,53,404,481,3,74%,1
K.Drake,MIA,123,8,99,12,14.0%,12,8.6%,74,477,568,5,73%,0
J.Conner,PIT,112,9,102,10,15.2%,11,12.6%,71,497,503,1,77%,1
M.Breida,SF,105,10,113,9,44.8%,2,49.0%,31,261,346,2,87%,0
Du.Johnson,CLE,103,11,101,11,12.9%,14,12.4%,62,429,488,3,76%,1
T.Gurley,LAR,98,12,119,7,6.9%,20,11.5%,81,580,538,4,73%,1
S.Barkley,NYG,86,13,79,17,-0.7%,28,-1.7%,121,721,643,4,75%,0
J.Samuels,PIT,79,14,96,13,36.4%,3,47.0%,29,199,274,3,90%,0
N.Hines,IND,79,15,62,19,3.5%,23,-0.2%,81,425,488,2,78%,0
T.Coleman,ATL,77,16,80,16,17.2%,10,18.4%,44,276,335,5,73%,1
T.J.Yeldon,JAX,76,17,70,18,3.0%,24,1.6%,79,482,483,4,71%,0
K.Juszczyk,SF,76,18,82,14,18.7%,8,21.6%,41,324,322,1,73%,1
M.Gordon,LAC,72,19,82,15,5.5%,22,8.2%,66,490,413,4,76%,1
E.Elliott,DAL,52,20,59,20,-3.2%,29,-1.8%,95,567,457,3,81%,0
A.Peterson,WAS,50,21,50,23,22.3%,5,22.2%,26,208,203,1,77%,1
J.Rodgers,TB,49,22,52,22,7.1%,19,8.5%,45,304,269,0,84%,1
W.Smallwood,PHI,49,23,35,26,11.2%,16,4.3%,35,230,241,2,80%,0
D.Cook,MIN,45,24,54,21,2.1%,26,5.3%,49,305,297,2,82%,0
E.McGuire,NYJ,38,25,29,29,8.1%,18,2.7%,31,193,205,1,61%,0
L.Fournette,JAX,37,26,40,25,9.6%,17,11.3%,26,185,191,1,85%,0
A.Jones,GB,33,27,32,27,2.2%,25,1.9%,35,206,212,1,74%,0
M.Davis,SEA,31,28,16,31,-0.1%,27,-6.7%,42,214,228,1,81%,0
C.Clement,PHI,29,29,30,28,5.8%,21,6.4%,25,192,163,0,88%,0
K.Johnson,DET,20,30,41,24,-4.8%,31,4.3%,39,213,203,1,82%,0
D.Lewis,TEN,15,31,28,30,-9.8%,35,-6.2%,67,400,290,1,88%,0
N.Chubb,CLE,14,32,10,34,-4.6%,30,-7.3%,29,149,137,2,69%,0
J.Williams,GB,11,33,3,37,-9.3%,34,-12.4%,41,210,189,0,66%,0
I.Crowell,NYJ,10,34,-2,38,-6.8%,32,-15.2%,28,152,126,0,75%,0
L.Murray,MIN,9,35,8,35,-7.5%,33,-8.7%,26,141,124,0,85%,0
P.Lindsay,DEN,9,36,14,33,-10.4%,36,-8.5%,47,241,206,1,74%,0
G.Bernard,CIN,5,37,-12,45,-11.8%,37,-18.7%,48,218,179,0,73%,0
T.Riddick,DET,4,38,-17,49,-12.7%,38,-18.5%,74,384,276,0,82%,0
D.Booker,DEN,1,39,-10,44,-13.5%,39,-17.2%,51,275,210,0,75%,1
T.Montgomery,2TM,-1,40,6,36,-14.1%,40,-10.9%,40,235,155,0,63%,0
B.Allen,BAL,-4,41,-14,47,-15.4%,42,-19.8%,43,204,165,2,81%,1
J.Mixon,CIN,-5,42,15,32,-15.3%,41,-9.3%,55,296,227,1,78%,0
M.Ingram,NO,-7,43,-6,43,-18.8%,46,-18.0%,27,170,90,1,78%,1
I.Smith,ATL,-8,44,-2,39,-17.7%,45,-15.0%,32,152,125,0,84%,0
L.Miller,HOU,-10,45,-15,48,-19.9%,47,-23.4%,35,163,93,1,71%,1
C.Thompson,WAS,-10,46,-3,41,-17.3%,44,-15.0%,56,272,186,1,75%,0
A.Blue,HOU,-10,47,-12,46,-20.5%,48,-21.5%,27,154,87,0,74%,0
M.Mack,IND,-10,48,-21,50,-21.3%,49,-29.0%,26,110,78,1,65%,1
J.Howard,CHI,-13,49,-4,42,-21.9%,50,-16.6%,27,145,85,0,74%,0
Da.Johnson,ARI,-13,50,-3,40,-17.1%,43,-14.5%,76,443,268,3,66%,1
T.Cannon,NYJ,-23,51,-26,52,-30.2%,52,-32.0%,25,144,47,0,68%,0
L.McCoy,BUF,-26,52,-21,51,-24.5%,51,-22.5%,46,238,123,0,74%,0
P.Barber,TB,-34,53,-29,53,-35.1%,53,-31.9%,29,92,44,1,69%,0
