Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM
R.Mostert,SF,62,57,39.3%,35.1%,22,180,211,2,64%,0
Dar.Williams,KC,57,67,38.9%,48.3%,19,167,195,1,79%,0
B.Bolden,NE,52,52,69.5%,69.2%,11,111,153,1,82%,0
R.Armstead,JAX,48,46,19.3%,17.5%,24,144,204,2,58%,0
D.Henry,TEN,46,46,21.8%,21.8%,24,206,187,2,75%,0
M.Breida,SF,39,26,19.5%,7.9%,22,120,165,1,86%,0
K.Johnson,DET,39,41,29.3%,31.4%,15,127,145,1,67%,0
R.Penny,SEA,37,28,45.4%,30.9%,11,83,122,1,73%,0
D.Hilliard,CLE,24,16,16.5%,6.6%,15,92,107,0,80%,0
B.Hill,ATL,23,13,16.5%,3.2%,14,69,100,1,71%,0
C.J.Prosise,SEA,22,14,16.6%,5.4%,12,76,97,0,83%,0
A.Mattison,MIN,18,20,21.2%,24.0%,12,82,76,0,83%,0
T.J.Yeldon,BUF,18,33,8.8%,27.9%,15,124,92,0,87%,0
P.Barber,TB,17,7,0.3%,-7.8%,24,115,120,1,67%,0
J.Howard,PHI,17,9,6.7%,-2.3%,14,69,92,1,71%,0
W.Gallman,NYG,14,19,6.0%,12.6%,15,102,82,1,73%,0
D.Vitale,GB,13,12,3.3%,2.6%,12,97,81,0,58%,0
T.Pollard,DAL,12,23,-2.7%,7.2%,20,107,104,1,75%,0
P.Ricard,BAL,12,14,4.0%,7.2%,11,47,75,1,73%,0
A.Abdullah,MIN,12,4,-4.4%,-10.7%,21,88,111,1,71%,0
J.Hill,BAL,9,12,-3.4%,0.1%,15,70,78,0,53%,0
W.Smallwood,WAS,6,2,-5.4%,-11.7%,13,64,61,0,69%,0
F.Gore,BUF,4,14,-9.6%,1.4%,16,100,71,0,81%,0
I.Smith,ATL,-1,7,-14.7%,-3.8%,14,87,46,0,79%,0
A.Peterson,WAS,-1,-3,-14.9%,-16.2%,23,142,90,0,74%,1
C.Edmonds,ARI,-2,-2,-15.3%,-15.4%,21,105,86,1,57%,0
M.Mack,IND,-4,2,-18.5%,-11.3%,17,82,60,0,82%,0
T.Homer,SEA,-6,-3,-21.7%,-18.0%,13,56,40,0,85%,0
S.Michel,NE,-9,-13,-21.3%,-25.0%,20,94,66,0,60%,0
J.Wilkins,IND,-9,-9,-31.5%,-30.4%,11,43,18,0,64%,0
D.Thompson,KC,-12,-6,-34.8%,-24.6%,10,43,16,0,90%,0
M.Gaskin,MIA,-14,-15,-32.9%,-34.4%,12,51,24,0,58%,0
Z.Line,NO,-16,-16,-50.9%,-50.6%,10,36,-2,0,60%,0
T.Montgomery,NYJ,-26,-16,-41.6%,-30.4%,17,90,13,0,76%,0
M.Walton,MIA,-28,-40,-39.1%,-50.8%,21,89,21,0,71%,1
D.Sproles,PHI,-30,-30,-63.4%,-63.6%,10,24,-19,0,60%,0
J.Jackson,LAC,-33,-30,-74.9%,-69.6%,11,22,-30,0,82%,0
C.Hyde,HOU,-36,-47,-50.3%,-61.3%,16,42,-4,0,63%,0
B.Powell,NYJ,-47,-31,-93.6%,-65.9%,12,33,-55,0,58%,0
K.Ballage,MIA,-65,-65,-66.6%,-66.5%,24,63,-46,0,58%,0
