Player,Team,DYAR,Rk,YAR,Rk.1,DVOA,Rk.2,VOA,Passes,Yards,EYds,TD,CatchRate,FUM,DPI
D.Waller,OAK,234,1,216,1,22.0%,7,19.8%,117,1145,1182,3,77%,1,2/34
J.Cook,NO,205,2,200,4,37.7%,1,36.6%,65,705,831,9,66%,0,1/11
T.Kelce,KC,203,3,209,2,14.8%,11,15.5%,136,1229,1216,5,71%,1,2/31
G.Kittle,SF,187,4,206,3,18.9%,9,21.5%,107,1053,1009,5,79%,1,2/7
H.Henry,LAC,136,5,135,7,19.0%,8,18.9%,76,652,731,5,72%,1,2/13
A.Hooper,ATL,130,6,136,6,12.5%,13,13.4%,97,787,834,6,77%,0,1/9
M.Andrews,BAL,123,7,145,5,12.1%,15,15.5%,98,852,800,10,65%,2,0/0
K.Rudolph,MIN,118,8,120,8,26.9%,5,27.6%,48,367,545,6,81%,0,2/39
J.Smith,TEN,91,9,85,10,25.6%,6,23.3%,44,439,431,3,80%,0,1/16
H.Hurst,BAL,89,10,78,13,28.1%,4,23.7%,39,349,408,2,77%,0,0/0
T.Higbee,LAR,79,11,92,9,5.5%,17,7.7%,89,734,692,3,78%,0,0/0
D.Fells,HOU,75,12,83,11,15.6%,10,18.3%,48,341,437,7,71%,0,0/0
W.Dissly,SEA,74,13,80,12,36.0%,2,39.5%,27,262,304,4,85%,1,0/0
F.Moreau,OAK,72,14,65,14,29.6%,3,26.1%,25,174,321,5,84%,0,0/0
B.Jarwin,DAL,52,15,50,16,12.1%,14,11.3%,41,365,341,3,76%,1,0/0
R.Griffin,NYJ,45,16,60,15,8.4%,16,13.7%,41,320,341,5,83%,0,0/0
J.Witten,DAL,38,17,26,23,-0.5%,20,-2.5%,83,529,551,4,76%,1,1/13
J.Graham,GB,38,18,40,20,2.1%,19,2.5%,60,447,422,3,63%,1,3/66
O.J.Howard,TB,37,19,43,18,3.2%,18,4.8%,53,459,378,1,64%,1,1/29
A.Firkser,TEN,31,20,31,21,13.0%,12,12.8%,24,204,196,1,58%,0,1/20
D.Goedert,PHI,30,21,17,26,-2.1%,25,-4.4%,87,607,559,5,67%,2,0/0
Z.Ertz,PHI,27,22,30,22,-4.3%,26,-4.0%,135,916,828,6,65%,1,1/7
J.Hollister,SEA,25,23,-16,34,-0.8%,22,-11.3%,59,349,383,3,69%,0,1/38
T.Eifert,CIN,22,24,42,19,-1.8%,24,2.9%,63,436,392,3,68%,0,1/6
E.Ebron,IND,21,25,43,17,-1.1%,23,5.3%,52,375,334,3,60%,0,1/13
N.Boyle,BAL,18,26,14,27,-0.8%,21,-2.2%,43,321,280,2,72%,0,0/0
J.Akins,HOU,6,27,19,25,-5.6%,27,-2.0%,55,418,310,2,65%,0,0/0
N.Fant,DEN,6,28,-12,33,-5.9%,28,-10.0%,66,562,376,3,61%,1,0/0
G.Olsen,CAR,4,29,26,24,-6.5%,29,-2.5%,82,597,466,2,63%,0,0/0
J.Doyle,IND,3,30,0,30,-6.7%,30,-7.2%,72,448,419,4,60%,1,1/15
D.Walker,TEN,0,31,0,29,-7.1%,31,-7.0%,31,215,155,2,68%,1,1/11
C.Brate,TB,-3,32,-4,31,-8.0%,32,-8.4%,55,311,309,4,65%,0,0/0
J.Hill,NO,-6,33,-9,32,-9.8%,33,-10.7%,35,226,197,3,71%,0,0/0
G.Everett,LAR,-13,34,-29,40,-10.4%,34,-14.5%,60,408,310,2,62%,0,1/3
D.Harris,CLE,-17,35,-24,36,-16.0%,38,-19.6%,27,149,129,3,56%,0,0/0
J.Sprinkle,WAS,-21,36,-29,39,-15.7%,37,-18.9%,40,241,162,1,65%,1,0/0
L.Thomas,DET,-21,37,-19,35,-18.9%,42,-17.6%,28,173,106,1,57%,0,0/0
D.Knox,BUF,-23,38,1,28,-14.0%,35,-7.0%,50,388,233,2,56%,0,1/18
J.James,DET,-28,39,-28,38,-23.9%,44,-24.3%,27,142,80,0,59%,0,0/0
C.J.Uzomah,CIN,-34,40,-31,42,-19.6%,43,-18.6%,40,242,160,2,68%,0,0/0
E.Engram,NYG,-37,41,-35,43,-15.7%,36,-15.2%,68,467,289,3,65%,0,0/0
I.Smith,MIN,-39,42,-30,41,-18.5%,41,-16.1%,47,311,206,2,77%,1,1/5
I.Thomas,CAR,-41,43,-54,46,-27.1%,46,-33.2%,30,136,85,1,53%,0,0/0
T.J.Hockenson,DET,-41,44,-28,37,-18.1%,40,-14.6%,59,367,232,2,54%,0,0/0
M.Gesicki,MIA,-51,45,-41,44,-16.3%,39,-14.5%,89,570,365,5,57%,1,2/13
K.Smith,NYG,-52,46,-42,45,-25.8%,45,-22.1%,42,268,122,3,74%,2,0/0
R.Ellison,NYG,-57,47,-55,47,-38.8%,48,-37.9%,28,167,28,1,64%,0,0/0
V.McDonald,PIT,-83,48,-83,48,-32.4%,47,-32.6%,55,273,97,3,69%,1,0/0
