0,1,2,3,4,5,6,7,8,9,10,11,12
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,Runs,Yards,TD,FUM
T.Austin,LARM,97,1,97,1,-6.0%,13,-6.2%,59,270,1,0
C.Patterson,OAK,60,2,61,2,47.3%,4,47.8%,13,121,2,0
T.Benjamin,LACH,54,3,58,3,43.5%,5,49.6%,12,89,0,0
T.Gabriel,ATL,36,4,32,5,39.5%,6,31.0%,8,49,0,0
T.Lockett,SEA,36,5,40,4,29.2%,8,35.3%,10,58,0,0
Ta.Taylor,TEN,30,6,32,6,62.9%,1,69.5%,8,43,0,0
M.Sanu,ATL,29,7,30,7,48.3%,3,51.4%,5,18,0,0
M.Campanaro,BAL,29,8,28,8,57.7%,2,55.1%,5,42,0,0
T.Ginn,NO,20,9,17,10,-0.8%,12,-6.8%,10,39,0,0
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,Runs,Yards,TD,FUM
A.Stewart,NYJ,18,10,20,9,39.2%,7,49.7%,5,24,0,0
J.Crowder,WAS,17,11,15,11,1.0%,11,-3.9%,7,34,0,0
G.Tate,DET,14,12,9,13,13.2%,9,-5.7%,5,22,0,0
M.Bryant,PIT,10,13,9,12,9.5%,10,3.1%,6,22,0,0
B.Cooks,NE,6,14,7,14,-28.1%,15,-25.5%,9,40,0,0
A.Erickson,CIN,5,15,4,15,-21.2%,14,-26.1%,5,16,0,0
R.Cobb,GB,1,16,3,17,-34.8%,16,-32.0%,8,23,0,0
T.Hill,KC,-2,17,3,16,-41.3%,17,-34.3%,16,50,0,0
S.Diggs,MIN,-4,18,-5,18,-48.3%,18,-50.7%,8,13,0,0
