Player,Team,DYAR,Rk,YAR,Rk.1,DVOA,Rk.2,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM,DPI
T.Lockett,SEA,464,1,458,2,66.3%,1,65.4%,70,965,1162,10,81%,1,6/182
D.Hopkins,HOU,455,2,433,3,22.6%,10,20.9%,163,1572,1723,11,71%,2,2/43
M.Thomas,NO,442,3,473,1,23.1%,9,25.6%,147,1405,1658,9,85%,2,8/102
M.Evans,TB,420,4,417,4,26.3%,3,26.0%,138,1524,1499,8,62%,1,2/28
T.Hill,KC,387,5,356,7,23.8%,6,20.9%,137,1479,1434,12,64%,0,0/0
J.Jones,ATL,382,6,416,5,15.9%,17,18.5%,170,1677,1651,8,66%,2,3/98
T.Y.Hilton,IND,359,7,386,6,23.4%,8,26.1%,120,1270,1339,6,63%,0,6/150
A.Thielen,MIN,341,8,335,8,15.2%,19,14.8%,153,1373,1497,9,74%,1,1/3
K.Allen,LAC,320,9,296,12,18.1%,15,15.7%,136,1196,1320,6,71%,1,1/15
B.Cooks,LAR,318,10,313,9,21.5%,12,21.0%,117,1205,1227,5,68%,1,3/124
R.Woods,LAR,316,11,301,11,17.5%,16,16.1%,130,1219,1319,6,66%,0,4/18
T.Boyd,CIN,305,12,310,10,24.1%,4,24.7%,108,1028,1125,7,70%,0,0/0
M.Williams,LAC,262,13,246,15,39.2%,2,36.1%,66,664,797,10,65%,0,1/9
A.Jeffery,PHI,251,14,270,13,21.1%,13,23.6%,92,840,977,6,71%,1,4/93
K.Golladay,DET,250,15,225,16,13.3%,21,10.7%,119,1063,1150,5,59%,1,5/105
D.Adams,GB,246,16,264,14,6.1%,30,7.4%,169,1386,1432,13,66%,0,2/47
J.Smith-Schuster,PIT,235,17,195,19,4.4%,34,1.5%,167,1426,1465,7,67%,1,3/43
J.Gordon,2TM,193,18,195,18,20.4%,14,20.7%,71,737,762,4,58%,0,4/116
A.Brown,PIT,191,19,137,29,1.7%,41,-2.3%,168,1297,1365,15,62%,0,2/2
A.Cooper,2TM,187,20,196,17,8.7%,27,9.8%,107,1005,989,7,70%,2,1/13
C.Ridley,ATL,167,21,175,20,10.2%,26,11.3%,92,821,840,10,70%,2,2/59
S.Watkins,KC,161,22,147,26,24.1%,5,20.8%,55,519,596,3,73%,0,3/34
C.Kupp,LAR,158,23,154,23,23.8%,7,22.8%,55,566,586,6,73%,0,0/0
A.J.Green,CIN,155,24,145,27,12.4%,23,10.9%,77,694,732,6,60%,2,2/52
D.Jackson,TB,153,25,147,25,12.2%,25,11.3%,74,774,724,4,55%,0,3/57
A.Humphries,TB,152,26,154,21,6.7%,28,6.9%,105,816,857,5,72%,0,0/0
O.Beckham,NYG,151,27,154,22,2.5%,37,2.8%,124,1052,1036,6,62%,0,5/79
R.Higgins,CLE,143,28,142,28,22.3%,11,22.2%,53,572,543,4,74%,2,0/0
M.Jones,DET,142,29,134,30,15.7%,18,14.1%,62,508,617,5,56%,0,4/104
M.Sanu,ATL,141,30,154,24,6.4%,29,8.1%,94,838,811,4,70%,2,3/42
J.Nelson,OAK,130,31,114,37,5.7%,32,3.4%,88,739,771,3,72%,0,2/30
T.Williams,LAC,128,32,109,40,12.3%,24,8.6%,65,653,606,5,63%,2,0/0
K.Stills,MIA,127,33,105,41,12.6%,22,8.3%,64,553,596,6,58%,0,1/7
C.Hogan,NE,123,34,121,34,14.3%,20,13.8%,55,532,552,3,64%,0,3/46
J.Edelman,NE,122,35,124,33,1.7%,42,1.9%,108,850,870,6,69%,0,0/0
E.Sanders,DEN,113,36,114,36,2.0%,39,2.1%,99,877,797,4,73%,0,0/0
D.Baldwin,SEA,113,37,112,38,6.0%,31,5.9%,73,618,658,5,68%,0,3/13
D.J.Moore,CAR,109,38,126,32,4.1%,35,6.7%,82,788,688,2,67%,1,3/40
C.Godwin,TB,105,39,116,35,1.3%,43,2.8%,95,842,764,7,62%,4,2/23
C.Davis,TEN,104,40,90,43,-1.2%,48,-2.7%,112,891,891,4,58%,1,5/106
C.Beasley,DAL,100,41,128,31,2.1%,38,6.2%,87,672,700,3,75%,0,1/8
S.Shepard,NYG,97,42,111,39,-0.9%,46,0.8%,107,872,815,4,62%,0,1/4
D.Thomas,2TM,96,43,74,46,0.9%,45,-2.1%,89,677,715,5,66%,0,2/36
C.Sutton,DEN,95,44,87,44,1.3%,44,0.2%,84,704,693,4,50%,0,4/50
S.Roberts,OAK,86,45,68,47,4.7%,33,1.1%,64,494,532,2,70%,0,1/6
A.Miller,CHI,71,46,87,45,3.9%,36,7.5%,54,423,455,7,61%,0,1/43
A.Robinson,CHI,62,47,103,42,-4.8%,52,0.4%,94,754,738,4,59%,1,8/83
J.Reynolds,LAR,62,48,52,50,1.9%,40,-0.4%,53,402,437,5,55%,0,0/0
C.Kirk,ARI,57,49,57,49,-1.8%,49,-1.8%,68,590,508,3,63%,0,1/17
C.Conley,KC,48,50,38,52,-1.0%,47,-3.3%,52,334,400,5,62%,2,2/57
Ta.Taylor,TEN,43,51,31,55,-2.7%,50,-5.5%,56,466,414,1,66%,1,0/0
K.Bourne,SF,42,52,45,51,-4.5%,51,-4.0%,67,488,484,4,63%,1,0/0
A.Callaway,CLE,40,53,35,54,-6.3%,56,-7.1%,79,586,567,5,54%,1,2/71
C.Samuel,CAR,39,54,61,48,-5.4%,53,-1.2%,65,494,488,5,60%,0,2/50
