Player,Team,DYAR,Rk,YAR,Rk.1,DVOA,Rk.2,VOA,Runs,Yards,TD,FUM
C.Patterson,NE,114,1,106,1,4.0%,21,1.2%,42,228,1,0
R.Woods,LAR,96,2,90,2,40.7%,10,35.8%,19,157,1,0
T.Hill,KC,89,3,83,3,29.7%,14,25.4%,21,154,1,0
J.Edelman,NE,82,4,82,4,119.4%,1,118.6%,9,107,0,0
B.Cooks,LAR,63,5,65,5,65.8%,5,70.2%,10,68,1,0
C.Samuel,CAR,60,6,56,7,111.1%,2,101.5%,8,84,2,0
D.J.Moore,CAR,57,7,55,8,28.3%,15,25.5%,13,172,0,2
I.McKenzie,BUF,57,8,61,6,64.3%,6,71.9%,10,66,2,0
D.Westbrook,JAX,47,9,48,9,32.8%,12,33.3%,9,98,0,0
M.Sanu,ATL,47,10,46,10,77.3%,3,76.3%,7,44,0,0
S.Diggs,MIN,37,11,39,11,53.0%,8,58.1%,10,62,0,0
K.Allen,LAC,37,12,39,13,60.9%,7,67.3%,8,75,0,0
T.Gabriel,CHI,37,13,39,12,41.4%,9,46.9%,9,61,0,0
T.Austin,DAL,34,14,34,14,66.4%,4,64.9%,6,55,0,0
C.Davis,TEN,25,15,22,17,38.5%,11,28.2%,6,55,0,0
T.Lockett,SEA,25,16,23,16,-2.7%,22,-5.0%,14,69,0,0
D.Jackson,TB,23,17,24,15,29.8%,13,32.8%,6,29,1,0
M.Williams,LAC,16,18,18,18,7.6%,19,12.9%,7,28,1,0
C.Ridley,ATL,15,19,16,19,10.7%,18,11.3%,6,27,0,0
T.Benjamin,LAC,14,20,15,20,11.0%,17,15.9%,7,41,0,0
A.Thielen,MIN,12,21,10,22,6.8%,20,0.2%,5,30,0,0
O.Beckham,NYG,12,22,11,21,25.2%,16,18.3%,5,19,0,0
A.Wilson,MIA,10,23,9,23,-15.4%,24,-15.7%,8,16,0,0
C.Moore,BAL,7,24,8,24,-14.3%,23,-12.0%,5,17,0,0
S.Watkins,KC,3,25,2,25,-31.0%,25,-33.5%,5,52,0,1
R.Switzer,PIT,-3,26,-1,26,-50.9%,26,-41.7%,6,21,0,0
A.Miller,CHI,-9,27,-13,27,-61.5%,27,-70.9%,6,26,0,1
