Player,Team,DYAR,Rk,YAR,Rk.1,DVOA,Rk.2,VOA,Passes,Yards,EYds,TD,CatchRate,FUM,DPI
M.Thomas,NO,538,1,537,1,23.9%,8,23.8%,185,1727,1993,9,81%,1,3/46
C.Godwin,TB,415,2,423,2,32.8%,1,33.6%,121,1333,1357,9,71%,0,1/6
A.Cooper,DAL,324,3,346,3,22.3%,10,24.6%,119,1189,1234,8,66%,0,1/26
T.Lockett,SEA,317,4,301,5,24.6%,6,22.7%,110,1057,1161,8,75%,1,2/52
C.Ridley,ATL,310,5,299,6,30.6%,2,29.1%,93,866,1040,7,68%,0,3/83
M.Evans,TB,301,6,310,4,18.0%,14,18.9%,118,1157,1244,8,57%,0,8/139
J.Jones,ATL,299,7,282,7,11.6%,21,10.2%,157,1394,1445,6,63%,1,2/47
D.Parker,MIA,283,8,274,10,14.9%,17,13.9%,128,1202,1255,9,56%,0,4/57
K.Golladay,DET,279,9,278,9,18.0%,13,17.9%,116,1190,1150,11,56%,1,1/26
S.Diggs,MIN,272,10,280,8,24.0%,7,25.0%,95,1130,1008,6,67%,4,2/39
A.J.Brown,TEN,251,11,253,12,26.2%,4,26.4%,84,1051,897,8,62%,1,0/0
T.Hill,KC,237,12,223,17,22.4%,9,20.2%,89,860,901,7,65%,0,0/0
T.McLaurin,WAS,237,13,244,13,18.9%,12,19.8%,93,919,961,7,62%,0,3/49
M.Williams,LAC,235,14,239,14,20.6%,11,21.2%,90,1001,922,2,54%,0,5/64
M.Gallup,DAL,233,15,259,11,13.5%,19,16.4%,113,1107,1069,6,58%,0,2/29
K.Allen,LAC,232,16,238,15,7.3%,28,7.8%,149,1199,1286,6,70%,0,3/35
D.Hopkins,HOU,224,17,197,20,6.2%,31,3.9%,150,1165,1297,7,69%,0,0/0
C.Kupp,LAR,205,18,185,22,7.1%,30,5.1%,134,1161,1148,10,70%,3,2/24
Jo.Brown,BUF,205,19,230,16,11.0%,23,13.9%,115,1060,1008,6,63%,0,0/0
T.Williams,OAK,204,20,212,18,27.2%,3,28.6%,64,651,719,6,66%,0,1/10
C.Sutton,DEN,189,21,187,21,5.7%,32,5.6%,124,1112,1114,6,58%,2,8/150
E.Sanders,2TM,188,22,179,25,10.5%,24,9.4%,97,869,937,5,68%,0,6/75
J.Landry,CLE,182,23,155,28,4.1%,36,1.6%,138,1174,1157,6,60%,0,3/38
M.Jones,DET,180,24,210,19,11.8%,20,15.8%,91,779,865,9,68%,0,2/39
D.J.Moore,CAR,167,25,183,23,3.2%,37,4.7%,135,1175,1105,4,64%,2,1/34
A.Robinson,CHI,165,26,182,24,0.4%,45,1.7%,154,1147,1271,7,64%,0,6/57
K.Stills,HOU,162,27,151,29,24.7%,5,22.3%,55,561,591,4,73%,0,0/0
J.Washington,PIT,156,28,145,30,11.2%,22,9.6%,80,735,760,3,55%,1,6/119
B.Perriman,TB,155,29,157,27,16.5%,15,17.0%,69,645,661,6,52%,0,2/43
D.Slayton,NYG,148,30,135,33,9.6%,25,7.6%,84,740,763,8,57%,0,2/39
D.Adams,GB,139,31,141,31,0.6%,43,0.8%,127,997,1057,5,65%,2,5/84
DJ Chark,JAX,134,32,158,26,1.9%,38,4.5%,118,1008,948,8,62%,1,4/53
Z.Pascal,IND,121,33,137,32,8.4%,26,11.2%,72,607,647,5,57%,0,3/61
D.Samuel,SF,121,34,114,38,7.3%,29,6.1%,81,802,673,3,70%,2,0/0
R.Cobb,DAL,119,35,125,34,5.4%,33,6.3%,83,828,711,3,66%,2,0/0
A.Lazard,GB,118,36,118,35,14.6%,18,14.6%,52,477,526,3,67%,0,2/10
C.Beasley,BUF,112,37,95,43,1.3%,41,-0.8%,106,778,818,6,63%,0,1/26
H.Renfrow,OAK,112,38,118,36,7.9%,27,9.0%,71,605,605,4,69%,0,0/0
DK Metcalf,SEA,105,39,85,45,0.6%,44,-2.0%,100,900,801,7,58%,3,1/4
A.Thielen,MIN,103,40,117,37,15.4%,16,19.3%,48,418,451,6,63%,0,2/30
C.Davis,TEN,99,41,113,39,5.4%,34,7.9%,69,601,591,2,62%,1,2/31
M.Brown,BAL,98,42,98,41,4.2%,35,4.0%,71,584,621,7,65%,0,2/73
R.Woods,LAR,94,43,86,44,-4.0%,51,-4.7%,139,1134,1016,2,65%,0,1/8
L.Fitzgerald,ARI,90,44,74,48,-2.0%,48,-3.9%,109,804,819,4,69%,1,2/41
W.Fuller,HOU,82,45,97,42,1.8%,39,4.5%,71,670,584,3,69%,1,1/5
