Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,CatchRate,FUM,DPI
M.Hardman,KC,181,177,44.1%,42.6%,41,538,528,6,63%,0,2/28
T.Sharpe,TEN,157,152,45.1%,43.2%,34,329,454,4,74%,0,1/42
T.Hill,NO,140,141,65.5%,65.9%,22,234,352,6,86%,0,0/0
T.Smith,NO,135,135,53.6%,53.7%,25,234,365,5,72%,0,1/6
K.Bourne,SF,130,132,25.7%,26.3%,44,358,467,5,68%,0,1/23
K.Cole,JAX,105,121,24.8%,30.5%,35,361,384,3,69%,0,1/21
M.Hall,DET,98,101,108.2%,112.1%,11,261,211,1,64%,0,0/0
W.Snead,BAL,88,78,12.4%,9.6%,46,339,414,5,67%,0,0/0
A.Humphries,TEN,84,77,11.7%,9.6%,47,374,404,2,79%,0,0/0
A.Hurns,MIA,64,68,5.2%,6.1%,47,416,389,2,68%,1,1/12
S.Roberts,BAL,62,55,10.4%,7.7%,35,271,313,2,60%,0,0/0
M.Turner,SEA,62,61,24.5%,23.8%,22,245,227,1,68%,0,1/5
J.Meyers,NE,61,71,5.9%,9.2%,41,359,355,0,63%,0,3/51
R.James,SF,54,59,64.5%,72.2%,10,165,136,1,60%,0,0/0
L.Treadwell,MIN,53,47,31.7%,27.1%,16,184,175,1,56%,0,0/0
J.Gordon,2TM,53,61,2.2%,4.5%,47,426,366,1,57%,0,1/28
M.Boykin,BAL,50,59,16.2%,21.3%,22,198,217,3,59%,0,0/0
O.Johnson,MIN,49,37,0.9%,-2.5%,45,294,369,3,69%,0,1/2
J.Kumerow,GB,48,49,20.1%,20.8%,21,219,190,1,57%,0,0/0
D.Jackson,PHI,47,66,41.6%,64.0%,10,159,140,2,90%,0,1/8
C.Latimer,NYG,45,43,0.0%,-0.6%,42,300,354,2,57%,0,1/37
A.Isabella,ARI,44,41,33.4%,29.9%,13,189,144,1,69%,0,0/0
D.Cain,2TM,44,44,10.4%,10.5%,20,124,218,0,45%,0,4/136
M.Johnson,IND,42,47,3.7%,5.7%,33,277,269,2,52%,0,1/45
B.Pringle,KC,40,43,22.9%,24.8%,16,170,152,1,75%,0,0/0
D.Carter,HOU,39,44,21.8%,26.7%,14,162,148,0,79%,0,0/0
M.Goodwin,SF,36,37,7.4%,7.8%,21,186,199,1,57%,0,1/9
K.Raymond,TEN,33,40,21.0%,27.6%,12,170,130,1,75%,1,0/0
K.Harmon,WAS,33,39,-2.8%,-1.1%,44,365,321,0,68%,0,0/0
P.Cooper,ARI,33,29,0.4%,-0.9%,33,243,252,1,76%,0,0/0
D.Byrd,ARI,30,19,-4.6%,-7.4%,46,359,343,1,70%,1,1/0
K.Doss,OAK,26,28,11.6%,13.1%,14,133,127,0,79%,0,0/0
T.Gabriel,CHI,24,31,-5.8%,-4.1%,48,353,328,4,60%,0,0/0
D.Williams,BUF,23,33,2.9%,9.7%,19,166,153,1,63%,0,0/0
Ja.Brown,SEA,21,13,-3.1%,-6.9%,28,220,214,2,57%,1,0/0
D.Ratley,CLE,21,20,-1.9%,-2.4%,24,200,187,1,50%,0,0/0
J.Watson,TB,20,28,-2.3%,2.0%,26,159,185,2,58%,0,0/0
B.Zylstra,CAR,20,20,8.4%,8.7%,12,106,105,0,67%,0,0/0
D.Moore,SEA,19,17,-5.5%,-6.3%,34,301,247,2,50%,1,0/0
T.Patrick,DEN,11,8,-7.8%,-9.4%,31,218,209,0,52%,0,0/0
J.Hardy,ATL,8,9,-8.5%,-8.2%,26,195,170,0,73%,0,0/0
