Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
1,Reshad Jones (FA),94,28,1.5,5,2,0,3,2,16,230.8,14.4,3.7%
2,Keanu Neal (ATL),81,32,0.0,6,1,3,2,0,16,200.5,12.5,43.9%
3,Jordan Poyer (BUF),63,32,2.0,13,5,0,1,1,15,200.2,13.3,59.1%
4,Kevin Byard (TEN),62,25,0.0,16,8,0,2,0,16,199.8,12.5,45.3%
5,Sean Davis (WAS),69,21,1.0,8,3,1,0,0,16,180.3,11.3,1.8%
6,Glover Quin (FA),60,24,0.0,6,3,4,1,1,16,180.3,11.3,0.4%
7,Harrison Smith (MIN),61,17,1.5,12,5,0,0,0,16,177.9,11.1,57.8%
8,Darius Slay (PHI),54,6,0.0,26,8,0,1,0,16,174.0,10.9,10.8%
9,Landon Collins (WAS),74,25,0.0,6,2,1,2,0,15,173.2,11.5,63.8%
10,Matthias Farley (NYJ),58,37,0.0,7,2,1,1,0,16,170.1,10.6,0.0%
11,Tre'Davious White (BUF),53,16,0.0,18,4,1,2,1,16,169.7,10.6,39.3%
12,Jamal Adams (NYJ),63,19,2.0,6,0,1,2,0,16,168.8,10.6,75.6%
13,Micah Hyde (BUF),65,17,0.0,13,5,0,0,0,16,165.8,10.4,27.6%
14,D.J. Swearinger Sr. (NO),61,18,0.5,10,4,1,0,0,16,158.9,9.9,2.3%
15,Devin McCourty (NE),77,17,1.0,5,1,0,1,0,16,158.8,9.9,14.5%
16,Eric Weddle (FA),49,14,1.0,8,6,2,1,1,16,157.7,9.9,22.5%
17,Darqueze Dennard (FA),59,24,2.0,6,2,0,0,1,16,156.7,9.8,0.4%
18,James Bradberry (NYG),66,19,1.0,10,2,1,0,0,16,155.3,9.7,16.3%
19,Jahleel Addae (FA),66,30,0.5,7,0,0,0,0,16,154.8,9.7,0.7%
20,Jason McCourty (NE),54,11,0.0,14,3,2,0,1,14,154.2,11.0,2.8%
21,Barry Church (FA),56,16,1.5,8,4,0,0,1,16,150.8,9.4,1.3%
22,Desmond King (LAC),61,10,4.0,5,1,0,0,1,16,150.2,9.4,27.2%
23,Tyrann Mathieu (KC),66,8,1.0,7,2,1,0,0,16,149.5,9.3,53.1%
24,Daniel Sorensen (KC),66,22,1.5,6,1,0,0,0,15,149.2,9.9,1.4%
25,Earl Thomas (BAL),56,32,0.0,7,2,1,0,1,14,148.1,10.6,14.0%
26,Reggie Nelson (FA),60,29,0.0,5,1,2,0,0,16,147.1,9.2,0.0%
27,Patrick Chung (NE),67,11,0.0,9,1,0,2,0,16,146.7,9.2,3.1%
28,Travis Carrie (IND),70,14,0.0,9,0,0,2,0,16,145.5,9.1,0.5%
29,Marshon Lattimore (NO),43,9,0.0,18,5,1,0,1,13,145.1,11.2,28.2%
30,Kyle Fuller (CHI),60,8,0.0,22,2,0,0,0,16,144.2,9.0,39.8%
31,Eddie Jackson (CHI),53,17,0.0,6,2,1,3,2,16,143.5,9.0,13.7%
32,Vonn Bell (CIN),57,21,4.5,2,0,2,0,0,16,143.0,8.9,43.0%
33,Adoree' Jackson (TEN),61,9,0.0,17,0,3,0,0,16,142.9,8.9,11.6%
34,Malcolm Jenkins (NO),57,12,1.0,8,2,1,1,0,16,142.8,8.9,34.2%
35,Kenny Vaccaro (TEN),48,12,1.5,7,3,0,1,1,12,141.9,11.8,7.8%
36,Hasean Clinton-Dix (DAL),65,14,0.0,6,3,0,0,0,16,141.0,8.8,26.6%
37,Tony Jefferson (FA),56,23,2.5,2,1,1,0,0,16,141.0,8.8,1.8%
38,Marcus Peters (BAL),42,4,0.0,9,5,4,2,1,14,141.0,10.1,18.7%
39,Jalen Ramsey (LAR),52,11,0.0,17,4,0,0,0,16,140.6,8.8,23.5%
40,Tre Boston (CAR),56,23,0.0,8,5,0,0,0,16,140.2,8.8,3.7%
41,Mike Hilton (PIT),42,12,4.0,6,2,1,0,0,16,140.0,8.8,5.0%
42,Trumaine Johnson (FA),57,8,0.0,14,2,1,1,1,16,139.6,8.7,0.4%
43,Kareem Jackson (DEN),54,19,1.0,10,1,1,0,0,16,139.6,8.7,24.9%
44,Tashaun Gipson Sr. (CHI),53,11,0.0,7,4,0,1,0,16,137.0,8.6,2.9%
45,Karl Joseph (CLE),57,21,1.0,4,1,1,1,0,15,136.9,9.1,7.1%
46,Dontae Johnson (SF),68,8,0.0,7,1,0,0,1,16,136.3,8.5,0.2%
47,A.J. Bouye (DEN),53,3,0.0,18,6,0,0,0,16,135.9,8.5,6.4%
48,Jalen Mills (PHI),51,13,0.0,14,3,0,0,1,15,135.5,9.0,4.9%
49,Mike Adams (FA),48,21,0.0,10,2,2,2,0,16,135.4,8.5,0.4%
50,Buster Skrine (CHI),56,7,1.0,9,1,2,2,0,15,135.1,9.0,1.4%
51,Chris Conte (FA),61,15,0.0,8,1,3,0,0,16,135.0,8.4,0.0%
52,Adrian Amos (GB),60,7,0.0,3,1,2,1,1,13,134.6,10.4,18.4%
53,Malcolm Butler (TEN),55,5,1.0,12,2,3,0,0,16,134.4,8.4,7.6%
54,Trae Waynes (CIN),57,8,1.0,11,2,0,0,0,16,132.9,8.3,3.4%
55,Dre Hal (FA),47,24,0.0,5,3,2,0,0,16,132.3,8.3,0.0%
56,Byron Jones (MIA),48,23,0.0,5,1,1,0,1,16,131.0,8.2,4.8%
57,Antoine Bethea (FA),47,10,1.0,9,5,1,0,0,15,130.1,8.7,17.6%
58,Marcus Williams (NO),57,14,0.0,7,4,0,0,0,15,130.1,8.7,9.9%
59,Josh Jones (JAC),56,11,2.0,5,1,0,0,0,16,129.9,8.1,0.0%
60,Dre Kirkpatrick (FA),47,8,1.0,14,1,1,0,0,14,129.1,9.2,0.7%
61,Robert Alford (ARI),58,7,0.0,20,1,0,0,0,16,128.8,8.1,0.7%
62,George Iloka (FA),54,25,0.0,5,1,0,0,0,16,128.6,8.0,0.0%
63,Daryl Worley (DAL),49,14,1.0,10,2,0,0,0,15,128.5,8.6,2.2%
64,Andrew Sendejo (CLE),52,25,0.0,7,2,0,0,0,13,127.5,9.8,1.8%
65,Casey Hayward (LAC),33,7,0.0,22,4,1,2,0,16,127.2,8.0,2.3%
66,Marcus Maye (NYJ),56,22,0.0,2,2,1,0,0,16,126.8,7.9,3.3%
67,Quandre Diggs (SEA),44,10,1.0,9,3,1,0,0,16,126.5,7.9,3.2%
68,Xavien Howard (MIA),42,6,1.0,13,4,0,0,1,16,126.2,7.9,2.8%
69,Darian Thompson (DAL),61,14,0.0,6,1,0,0,0,16,124.9,7.8,0.5%
70,Brandon Carr (FA),50,6,0.0,12,4,0,0,0,16,124.9,7.8,0.2%
71,Justin Simmons (DEN),46,17,1.0,5,2,0,0,1,13,124.0,9.5,41.6%
72,Patrick Robinson (NO),38,7,1.0,18,4,0,0,0,16,123.9,7.7,0.9%
73,Shaquill Griffin (SEA),50,8,1.0,15,1,0,0,0,15,120.7,8.0,15.5%
74,Jeff Heath (LV),55,8,0.0,5,3,1,0,0,15,120.2,8.0,3.4%
75,Ron Parker (FA),58,9,0.0,4,2,0,2,0,15,120.2,8.0,0.0%
