0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM
A.Kamara,NO,278,1,277,1,36.4%,6,36.3%,100,826,969,5,81%,0
T.Gurley,LARM,236,2,258,2,35.9%,7,40.5%,87,788,826,6,74%,0
C.Thompson,WAS,223,3,201,3,67.3%,1,59.5%,54,510,657,4,72%,0
L.Miller,HOU,134,4,137,4,42.7%,2,44.2%,45,327,446,3,80%,0
C.McCaffrey,CAR,128,5,135,5,5.7%,21,6.8%,113,651,730,5,71%,0
T.Coleman,ATL,121,6,97,11,41.2%,4,30.3%,39,299,403,3,69%,0
Du.Johnson,CLE,110,7,123,6,6.7%,19,9.1%,94,697,611,3,80%,2
R.Burkhead,NE,102,8,99,9,33.7%,8,32.1%,36,254,365,3,83%,0
K.Hunt,KC,102,9,107,7,15.6%,14,16.8%,63,455,460,3,84%,0
D.Freeman,ATL,102,10,98,10,23.6%,13,22.0%,47,317,406,1,77%,0
L.Bell,PIT,101,11,99,8,2.5%,29,2.1%,106,655,652,2,80%,1
D.Lewis,NE,90,12,89,12,32.0%,10,31.4%,35,214,326,3,91%,0
J.White,NE,86,13,87,13,6.4%,20,6.7%,72,429,475,3,78%,0
J.Richard,OAK,86,14,82,15,33.3%,9,31.0%,36,266,308,1,75%,0
S.Perine,WAS,84,15,78,17,42.6%,3,38.7%,25,184,280,1,92%,0
A.Ekeler,LACH,84,16,85,14,27.1%,12,27.8%,35,279,320,3,77%,1
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM
J.Williams,GB,84,17,81,16,29.9%,11,28.4%,34,262,310,2,74%,0
M.Gordon,LACH,76,18,69,20,3.0%,28,1.4%,83,476,482,4,70%,0
B.Cunningham,CHI,72,19,74,19,39.6%,5,40.6%,26,240,246,2,77%,1
A.Ellington,2TM,59,20,59,22,5.3%,23,5.4%,59,369,343,1,66%,0
L.Fournette,JAC,58,21,67,21,7.2%,18,10.5%,48,302,317,1,75%,0
J.D.McKissic,SEA,49,22,45,27,3.9%,26,2.5%,47,267,297,2,74%,0
J.McKinnon,MIN,48,23,74,18,-0.4%,31,6.8%,68,421,355,2,75%,0
L.McCoy,BUF,48,24,53,26,-1.8%,33,-0.3%,78,448,378,2,77%,0
D.Booker,DEN,45,25,37,33,7.7%,17,3.7%,38,277,243,0,79%,1
M.Forte,NYJ,44,26,57,23,5.6%,22,11.2%,45,293,254,1,82%,0
Da.Williams,MIA,44,27,42,28,12.2%,15,11.3%,28,155,210,1,71%,0
K.Juszczyk,SF,41,28,56,24,3.7%,27,9.8%,42,317,253,1,79%,2
M.Mack,IND,38,29,55,25,9.2%,16,19.4%,33,225,197,1,64%,0
T.Riddick,DET,37,30,42,29,-4.6%,36,-3.3%,71,444,362,2,75%,0
F.Gore,IND,35,31,41,30,4.1%,25,7.2%,38,245,211,1,76%,0
A.Abdullah,DET,33,32,15,40,1.7%,30,-6.9%,35,162,219,1,71%,0
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM
C.Ivory,JAC,27,33,23,37,4.4%,24,2.0%,28,175,162,1,75%,0
D.Murray,TEN,25,34,40,31,-3.3%,34,3.0%,47,266,224,1,83%,0
T.Montgomery,GB,19,35,3,43,-3.7%,35,-12.4%,31,173,170,1,74%,0
E.McGuire,NYJ,18,36,29,34,-1.4%,32,6.6%,26,177,137,1,65%,0
M.Breida,SF,16,37,17,39,-4.8%,37,-4.0%,37,174,158,1,59%,0
J.Mixon,CIN,13,38,39,32,-6.8%,38,6.7%,35,307,163,0,89%,2
M.Ingram,NO,13,39,5,41,-10.7%,42,-12.7%,71,418,317,0,82%,1
G.Bernard,CIN,11,40,27,36,-10.3%,41,-5.3%,60,381,251,2,72%,0
O.Darkwa,NYG,10,41,-10,47,-7.3%,39,-20.2%,28,116,135,0,68%,0
T.J.Yeldon,JAC,8,42,28,35,-9.9%,40,-1.0%,41,224,171,0,73%,0
E.Elliott,DAL,5,43,-17,52,-11.2%,43,-21.8%,38,249,161,2,68%,0
C.J.Anderson,DEN,1,44,4,42,-13.2%,44,-11.8%,40,224,136,1,70%,0
C.Sims,TB,1,45,-2,44,-13.4%,45,-14.5%,47,252,197,1,74%,1
D.Washington,OAK,1,46,-4,45,-13.6%,46,-15.6%,45,197,173,1,76%,1
D.Foster,ARI,-1,47,-13,48,-14.3%,47,-21.4%,28,133,119,0,61%,0
W.Gallman,NYG,-2,48,-20,53,-14.6%,48,-21.4%,48,193,183,1,71%,0
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM
J.Charles,DEN,-6,49,-15,50,-18.5%,51,-26.2%,28,129,75,0,82%,0
D.Woodhead,BAL,-9,50,19,38,-18.0%,50,-5.1%,39,200,137,0,85%,0
B.Allen,BAL,-10,51,-17,51,-16.7%,49,-18.5%,60,250,232,2,77%,0
K.Drake,MIA,-13,52,-14,49,-19.1%,52,-19.8%,48,239,143,1,67%,0
