0,1,2,3,4,5,6,7,8,9,10,11
Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM
C.Clement,PHI,50,50,41.7%,41.8%,15,123,168,2,67%,0
R.Smith,DAL,50,56,26.9%,31.6%,23,202,190,1,83%,0
K.Bibbs,WAS,36,35,32.7%,30.3%,17,128,131,1,82%,0
D.Henry,TEN,31,32,23.6%,24.4%,17,136,123,1,65%,0
W.Smallwood,PHI,30,19,14.2%,4.0%,18,103,139,0,72%,0
T.Rawls,SEA,28,27,26.8%,24.9%,13,94,107,0,69%,0
M.Davis,SEA,26,33,15.2%,24.0%,18,131,116,0,83%,0
J.Rodgers,TB,24,23,30.5%,28.3%,11,74,89,0,82%,0
K.Williams,ARI,21,18,11.6%,7.9%,15,93,103,0,67%,0
D.Sproles,PHI,16,6,12.7%,-4.4%,12,73,74,0,58%,0
T.Cadet,2TM,15,9,0.9%,-4.9%,19,119,101,0,84%,0
C.J.Prosise,SEA,6,11,-4.2%,5.4%,11,87,55,0,55%,0
P.Barber,TB,3,10,-11.1%,-4.3%,19,114,85,0,84%,0
L.Murray,MIN,2,10,-11.6%,-3.3%,17,103,73,0,88%,0
T.Bonahon,JAC,0,-2,-13.2%,-17.2%,11,43,53,1,55%,0
Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM
R.Turbin,IND,-1,6,-16.9%,0.7%,11,56,28,0,82%,0
J.Develin,NE,-2,-2,-16.9%,-16.7%,10,38,40,0,60%,0
D.Cook,MIN,-5,-7,-19.0%,-20.6%,16,90,62,0,69%,0
A.Ripkowski,GB,-6,-10,-23.6%,-29.1%,10,39,33,0,70%,0
M.Brown,LARM,-7,-7,-24.6%,-25.7%,11,53,31,0,82%,0
P.Perkins,NYG,-7,-10,-26.5%,-32.0%,10,46,24,0,80%,0
T.Ervin,HOU,-10,-5,-32.0%,-23.3%,11,38,19,0,73%,0
D.Martin,TB,-18,-13,-30.4%,-25.3%,18,84,41,0,50%,0
J.Stewart,CAR,-20,-14,-38.8%,-31.5%,15,52,16,1,53%,0
A.Peterson,2TM,-23,-31,-35.7%,-43.2%,19,70,28,0,58%,0
M.Tolbert,BUF,-24,-20,-44.2%,-38.7%,17,78,7,0,82%,0
P.DiMarco,BUF,-25,-28,-49.0%,-54.0%,10,28,-1,0,70%,0
B.Oliver,LACH,-29,-40,-56.3%,-71.4%,11,26,-11,0,55%,0
A.Jones,GB,-60,-64,-75.4%,-79.7%,18,22,-54,0,50%,0
