Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM
R.Penny,SEA,115,78,32.4%,19.1%,65,370,428,3,1
B.Scott,PHI,85,73,22.2%,17.7%,61,245,375,5,1
R.Burkhead,NE,85,75,22.2%,18.6%,65,302,373,3,0
C.Edmonds,ARI,84,74,31.7%,26.7%,60,303,316,4,0
T.Pollard,DAL,71,64,11.6%,9.5%,86,455,419,2,1
J.Wilkins,IND,64,77,20.9%,27.1%,51,307,289,2,0
J.Jackson,LAC,50,56,34.9%,39.3%,29,200,182,0,0
D.Guice,WAS,42,51,15.7%,20.4%,42,245,219,2,0
J.Wilson,SF,39,32,20.3%,15.6%,27,105,177,4,0
N.Hines,IND,38,44,8.4%,10.7%,52,199,257,2,0
M.Boone,MIN,35,51,9.0%,16.8%,49,273,229,4,0
M.Walton,MIA,33,5,6.7%,-6.1%,53,201,238,0,0
T.Johnson,DET,28,19,3.5%,-0.5%,63,273,247,0,0
I.Smith,ATL,27,21,13.7%,8.8%,22,106,147,1,0
K.Hunt,CLE,26,21,7.9%,4.5%,43,173,181,2,1
M.Brown,LAR,25,30,-0.1%,1.6%,69,255,293,5,0
J.D.McKissic,DET,23,25,6.5%,7.9%,38,205,171,0,0
K.Whyte,PIT,21,19,18.1%,14.6%,25,122,104,0,0
J.Williams,IND,21,45,2.0%,13.8%,49,235,208,1,0
Du.Johnson,HOU,21,40,-2.0%,3.8%,83,410,312,2,1
D.Thompson,KC,16,15,1.6%,0.9%,38,128,160,1,0
B.Hill,ATL,14,26,-4.1%,-0.3%,78,323,287,2,0
J.Hill,BAL,13,1,-2.6%,-7.9%,58,225,203,2,0
B.Scarbrough,DET,10,15,-5.7%,-4.4%,89,377,329,1,1
J.Richard,OAK,8,12,-3.6%,-1.5%,39,145,157,0,0
A.Abdullah,MIN,6,7,0.5%,1.8%,23,115,68,0,0
C.Thompson,WAS,3,-5,-6.4%,-11.9%,37,138,132,0,0
J.White,NE,-1,0,-9.0%,-8.6%,67,263,245,1,0
M.Gaskin,MIA,-3,-1,-10.3%,-9.1%,36,133,129,1,0
Q.Ollison,ATL,-3,1,-11.1%,-7.7%,22,50,97,4,1
W.Smallwood,WAS,-4,-6,-13.2%,-15.5%,22,81,66,0,0
D.Henderson,LAR,-5,-6,-11.6%,-12.2%,39,147,125,0,0
W.Gallman,NYG,-9,-12,-15.5%,-18.1%,29,111,96,2,1
Da.Johnson,ARI,-9,6,-10.8%,-7.0%,94,345,327,2,0
Dar.Williams,KC,-15,-13,-15.7%,-14.6%,41,141,160,3,1
B.Powell,NYJ,-22,-1,-18.6%,-8.8%,59,229,155,0,0
T.Cohen,CHI,-23,-22,-17.2%,-16.8%,64,215,192,0,0
R.Armstead,JAX,-23,-28,-26.0%,-29.6%,35,108,76,0,0
D.Lewis,TEN,-26,-18,-20.7%,-17.4%,54,209,140,0,1
T.Montgomery,NYJ,-27,-22,-30.4%,-26.3%,32,103,62,0,0
T.Edmunds,PIT,-29,-27,-36.9%,-34.8%,22,92,41,0,0
J.Hilliman,NYG,-32,-28,-32.9%,-30.2%,30,91,61,1,1
P.Laird,MIA,-34,-66,-23.0%,-36.5%,62,168,148,2,0
C.J.Prosise,SEA,-41,-31,-49.6%,-39.7%,23,72,19,1,1
G.Bernard,CIN,-52,-43,-33.5%,-29.4%,53,170,95,0,0
J.Samuels,PIT,-64,-58,-32.6%,-30.4%,66,175,125,1,0
K.Ballage,MIA,-75,-87,-33.9%,-38.1%,74,135,134,3,0
