Player,Team,DYAR,Rk,YAR,Rk.1,DVOA,Rk.2,VOA,Runs,Yards,EYds,TD,FUM
L.Jackson,BAL,273,1,270,1,20.5%,8,20.1%,156,1229,1241,7,7
J.Allen,BUF,100,2,77,5,6.5%,17,2.2%,95,523,623,9,6
K.Murray,ARI,87,3,84,4,8.5%,14,7.8%,82,550,510,4,1
R.Tannehill,TEN,82,4,95,2,48.9%,1,58.3%,25,201,289,4,0
D.Watson,HOU,77,5,87,3,9.9%,13,12.6%,69,435,437,7,4
D.Prescott,DAL,71,6,64,8,15.6%,10,12.8%,41,287,350,3,1
P.Mahomes,KC,66,7,76,6,28.1%,5,34.5%,31,230,272,2,1
A.Rodgers,GB,61,8,56,10,35.9%,3,31.4%,27,202,235,1,0
J.Brissett,IND,57,9,66,7,10.1%,12,13.3%,45,237,322,4,1
C.Wentz,PHI,56,10,50,14,6.1%,18,4.2%,52,242,352,1,3
J.Winston,TB,53,11,51,12,12.6%,11,11.7%,41,264,278,1,0
J.Driskel,DET,52,12,53,11,37.0%,2,37.6%,21,152,198,1,0
B.Mayfield,CLE,48,13,50,13,21.9%,7,23.0%,24,144,213,3,1
G.Minshew,JAX,48,14,57,9,8.1%,15,11.9%,54,353,286,0,2
D.Jones,NYG,45,15,39,16,7.9%,16,5.2%,40,283,268,2,4
M.Ryan,ATL,38,16,39,15,18.1%,9,18.8%,25,156,175,1,1
R.Wilson,SEA,33,17,24,18,-0.3%,20,-3.8%,60,342,279,3,3
R.Fitzpatrick,MIA,33,18,15,20,2.2%,19,-5.6%,42,259,259,5,3
T.Brady,NE,32,19,30,17,22.0%,6,20.0%,11,46,141,3,0
R.Finley,CIN,22,20,21,19,35.4%,4,34.6%,9,77,83,0,0
T.Hill,NO,7,21,5,22,-7.5%,22,-9.1%,27,156,133,1,0
A.Dalton,CIN,7,22,6,21,-7.7%,23,-8.4%,24,77,125,4,3
R.Griffin,BAL,5,23,-4,26,-6.6%,21,-16.8%,15,70,72,0,0
K.Allen,CAR,4,24,-1,25,-9.0%,24,-12.5%,25,108,109,2,1
D.Lock,DEN,1,25,5,23,-10.9%,25,-5.1%,13,73,50,0,1
M.Rudolph,PIT,0,26,-4,27,-12.5%,26,-17.7%,13,49,52,0,0
M.Mariota,TEN,-2,27,3,24,-13.7%,27,-9.3%,23,130,69,0,1
S.Darnold,NYJ,-7,28,-5,29,-20.1%,31,-18.1%,15,70,46,2,2
D.Haskins,WAS,-8,29,-10,32,-20.9%,32,-22.3%,17,98,49,0,2
J.Garoppolo,SF,-9,30,-7,30,-18.0%,29,-16.4%,24,65,90,1,2
K.Cousins,MIN,-9,31,-9,31,-19.8%,30,-19.7%,18,71,65,1,1
M.Trubisky,CHI,-12,32,-5,28,-17.6%,28,-14.5%,42,189,127,2,2
D.Hodges,PIT,-16,33,-12,33,-34.5%,34,-28.6%,12,79,15,0,1
M.Stafford,DET,-19,34,-14,34,-40.1%,36,-32.6%,14,63,5,0,2
T.Bridgewater,NO,-19,35,-30,35,-32.7%,33,-43.6%,15,44,23,0,0
J.Goff,LAR,-32,36,-35,36,-36.7%,35,-39.1%,19,46,20,2,1
D.Carr,OAK,-49,37,-42,37,-60.6%,37,-53.9%,19,84,-40,2,5
