Player,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
M.Schaub,ATL,217,231,37.6%,40.7%,78.9,67,561,655,3,0,1,1,76.9%,0/0,-0.7
M.Moore,KC,172,113,15.5%,6.4%,55.4,98,594,752,4,2,0,0,65.6%,1/8,-0.7
D.Lock,DEN,138,192,2.2%,7.4%,48.2,162,994,1025,7,1,1,3,64.1%,4/71,1.3
B.Roethlisberger,PIT,69,-32,5.4%,-18.8%,27.1,64,338,430,0,1,0,1,56.5%,2/26,3.3
C.Newton,CAR,19,-8,-8.0%,-12.5%,21.1,94,529,508,0,0,0,1,56.8%,0/0,-0.5
R.Griffin,BAL,14,-6,-5.9%,-13.6%,52.8,43,206,232,1,0,0,2,60.5%,0/0,1.4
S.Mannion,MIN,-5,-19,-15.2%,-25.7%,24.8,21,126,99,0,0,0,1,57.1%,0/0,-4.8
M.Glennon,OAK,-6,-6,-20.2%,-19.6%,23.7,11,53,48,1,1,0,0,60.0%,0/0,-2.7
C.Daniel,CHI,-9,15,-13.2%,-7.8%,57.6,71,387,353,3,0,0,2,70.3%,1/9,-1.3
E.Manning,NYG,-38,25,-15.0%,-8.6%,34.4,153,983,746,6,2,1,5,62.3%,1/24,2.3
B.Hundley,ARI,-43,-44,-62.3%,-64.1%,79.2,13,38,9,0,0,0,0,45.5%,0/0,6.0
M.Mariota,TEN,-62,-35,-17.0%,-14.5%,33.7,183,1031,767,7,2,0,2,60.5%,2/25,0.2
N.Foles,JAX,-77,-61,-21.3%,-19.1%,33.6,125,669,508,3,0,2,2,66.4%,1/5,1.8
J.Driskel,DET,-91,-91,-24.2%,-24.2%,47.9,114,639,438,4,1,0,4,60.2%,2/15,-1.6
AJ McCarron,HOU,-96,-91,-43.6%,-42.0%,25.5,42,182,107,0,0,0,1,56.8%,0/0,3.0
D.Blough,DET,-101,-206,-19.5%,-28.3%,32.1,188,880,829,4,0,0,5,54.0%,1/30,1.7
C.McCoy,WAS,-114,-189,-73.8%,-115.2%,13.9,33,80,-9,0,2,0,1,66.7%,0/0,-3.7
B.Allen,DEN,-115,-168,-30.5%,-39.6%,38.1,93,456,320,3,0,0,2,46.4%,1/24,0.7
M.Barkley,BUF,-122,-164,-52.0%,-66.1%,9.5,53,344,75,0,2,1,3,54.0%,0/0,1.4
D.Hodges,PIT,-122,-136,-22.1%,-23.4%,30.1,175,944,729,5,2,1,8,63.3%,6/91,-1.4
B.Hoyer,IND,-175,-140,-53.1%,-44.6%,16.3,70,332,100,4,1,1,4,53.8%,1/35,-0.3
W.Grier,CAR,-180,-159,-60.6%,-54.8%,2.5,58,184,48,0,0,0,3,53.8%,1/29,-0.5
R.Finley,CIN,-290,-321,-59.8%,-64.9%,23.5,98,388,86,2,1,3,2,47.1%,2/20,1.0
L.Falk,NYJ,-314,-362,-72.3%,-81.7%,8.9,89,320,-14,0,1,1,3,64.4%,0/0,-0.4
J.Rosen,MIA,-409,-429,-63.0%,-65.6%,18.4,125,476,78,1,1,0,5,53.2%,2/36,7.7
